variable,importance,cumulative,rank
l_CLI38,0.6954711943160038,0.6954711943160038,1
l_CLI57,0.16978583365102695,0.8652570279670307,2
l_CLI14,0.07072242371039432,0.935979451677425,3
l_TOP109,0.045312850361737475,0.9812923020391625,4
l_CLI66,0.01114830962605452,0.992440611665217,5
l_TOP102,0.007559388334782963,1.0,6
l_TOP18,0.0,1.0,7
l_TOP14,0.0,1.0,8
l_TOP132,0.0,1.0,9
l_TOP133,0.0,1.0,10
l_TOP134,0.0,1.0,11
l_TOP2,0.0,1.0,12
l_TOP135,0.0,1.0,13
l_TOP136,0.0,1.0,14
l_TOP137,0.0,1.0,15
l_TOP138,0.0,1.0,16
l_TOP139,0.0,1.0,17
l_TOP140,0.0,1.0,18
l_TOP141,0.0,1.0,19
l_TOP131,0.0,1.0,20
l_TOP19,0.0,1.0,21
l_TOP142,0.0,1.0,22
l_TOP143,0.0,1.0,23
l_TOP144,0.0,1.0,24
l_TOP15,0.0,1.0,25
l_TOP16,0.0,1.0,26
l_TOP17,0.0,1.0,27
l_CLI12,0.0,1.0,28
l_TOP128,0.0,1.0,29
l_TOP130,0.0,1.0,30
l_TOP129,0.0,1.0,31
l_SOL9,0.0,1.0,32
l_TOP10,0.0,1.0,33
l_TOP101,0.0,1.0,34
l_TOP103,0.0,1.0,35
l_TOP104,0.0,1.0,36
l_TOP105,0.0,1.0,37
l_TOP106,0.0,1.0,38
l_TOP107,0.0,1.0,39
l_TOP108,0.0,1.0,40
l_TOP111,0.0,1.0,41
l_TOP112,0.0,1.0,42
l_TOP116,0.0,1.0,43
l_TOP118,0.0,1.0,44
l_TOP119,0.0,1.0,45
l_TOP124,0.0,1.0,46
l_TOP125,0.0,1.0,47
l_TOP126,0.0,1.0,48
l_TOP127,0.0,1.0,49
l_TOP21,0.0,1.0,50
l_TOP20,0.0,1.0,51
l_TOP23,0.0,1.0,52
l_TOP22,0.0,1.0,53
l_TOP74,0.0,1.0,54
l_TOP63,0.0,1.0,55
l_TOP64,0.0,1.0,56
l_TOP65,0.0,1.0,57
l_TOP66,0.0,1.0,58
l_TOP67,0.0,1.0,59
l_TOP68,0.0,1.0,60
l_TOP69,0.0,1.0,61
l_TOP71,0.0,1.0,62
l_TOP73,0.0,1.0,63
l_TOP75,0.0,1.0,64
l_TOP6,0.0,1.0,65
l_TOP76,0.0,1.0,66
l_TOP79,0.0,1.0,67
l_TOP83,0.0,1.0,68
l_TOP89,0.0,1.0,69
l_TOP9,0.0,1.0,70
l_TOP90,0.0,1.0,71
l_TOP91,0.0,1.0,72
l_TOP92,0.0,1.0,73
l_TOP93,0.0,1.0,74
l_TOP60,0.0,1.0,75
l_TOP59,0.0,1.0,76
l_SOL7,0.0,1.0,77
l_TOP41,0.0,1.0,78
l_TOP24,0.0,1.0,79
l_TOP27,0.0,1.0,80
l_TOP28,0.0,1.0,81
l_TOP3,0.0,1.0,82
l_TOP32,0.0,1.0,83
l_TOP38,0.0,1.0,84
l_TOP39,0.0,1.0,85
l_TOP4,0.0,1.0,86
l_TOP40,0.0,1.0,87
l_TOP42,0.0,1.0,88
l_TOP53,0.0,1.0,89
l_TOP43,0.0,1.0,90
l_TOP44,0.0,1.0,91
l_TOP45,0.0,1.0,92
l_TOP47,0.0,1.0,93
l_TOP48,0.0,1.0,94
l_TOP49,0.0,1.0,95
l_TOP5,0.0,1.0,96
l_TOP51,0.0,1.0,97
l_TOP52,0.0,1.0,98
l_SOL8,0.0,1.0,99
l_SOL59,0.0,1.0,100
l_SOL60,0.0,1.0,101
l_LAC13,0.0,1.0,102
l_CLI72,0.0,1.0,103
l_CLI75,0.0,1.0,104
l_CLI76,0.0,1.0,105
l_CLI8,0.0,1.0,106
l_CLI9,0.0,1.0,107
l_LAC1,0.0,1.0,108
l_LAC10,0.0,1.0,109
l_LAC11,0.0,1.0,110
l_LAC12,0.0,1.0,111
l_LAC15,0.0,1.0,112
l_CLI64,0.0,1.0,113
l_LAC16,0.0,1.0,114
l_LAC17,0.0,1.0,115
l_LAC18,0.0,1.0,116
l_LAC19,0.0,1.0,117
l_LAC2,0.0,1.0,118
l_LAC20,0.0,1.0,119
l_LAC21,0.0,1.0,120
l_LAC3,0.0,1.0,121
l_LAC4,0.0,1.0,122
l_CLI70,0.0,1.0,123
l_CLI60,0.0,1.0,124
l_LAC6,0.0,1.0,125
l_CLI32,0.0,1.0,126
l_CLI16,0.0,1.0,127
l_CLI18,0.0,1.0,128
