rep,rank,variable,description
1,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
1,2,l_CLI2,Ann. mean air temp. [max] (°C)
1,3,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
1,4,l_CLI18,Max temp. of warmest month [max] (°C)
1,5,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
1,6,l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³)
1,7,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
1,8,l_CLI30,Mean temp. of wettest quarter [max] (°C)
1,9,l_CLI66,Precip. of driest quarter [max] (kg/m²)
1,10,l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100)
2,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
2,2,l_CLI2,Ann. mean air temp. [max] (°C)
2,3,l_CLI18,Max temp. of warmest month [max] (°C)
2,4,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
2,5,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
2,6,l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³)
2,7,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
2,8,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
2,9,l_CLI66,Precip. of driest quarter [max] (kg/m²)
2,10,l_CLI30,Mean temp. of wettest quarter [max] (°C)
3,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
3,2,l_CLI2,Ann. mean air temp. [max] (°C)
3,3,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
3,4,l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³)
3,5,l_CLI18,Max temp. of warmest month [max] (°C)
3,6,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
3,7,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
3,8,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
3,9,l_SOL21,Coarse fragments by volume (>2 mm) [min] (v%)
3,10,l_CLI66,Precip. of driest quarter [max] (kg/m²)
4,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
4,2,l_CLI2,Ann. mean air temp. [max] (°C)
4,3,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
4,4,l_CLI18,Max temp. of warmest month [max] (°C)
4,5,l_CLI30,Mean temp. of wettest quarter [max] (°C)
4,6,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
4,7,l_CLI66,Precip. of driest quarter [max] (kg/m²)
4,8,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
4,9,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
4,10,l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100)
5,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
5,2,l_CLI2,Ann. mean air temp. [max] (°C)
5,3,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
5,4,l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³)
5,5,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
5,6,l_CLI18,Max temp. of warmest month [max] (°C)
5,7,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
5,8,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
5,9,l_CLI30,Mean temp. of wettest quarter [max] (°C)
5,10,l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100)
6,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
6,2,l_CLI2,Ann. mean air temp. [max] (°C)
6,3,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
6,4,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
6,5,l_CLI18,Max temp. of warmest month [max] (°C)
6,6,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
6,7,l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³)
6,8,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
6,9,l_CLI66,Precip. of driest quarter [max] (kg/m²)
6,10,l_SOL3,Derived saturated water content (vol. frac.) [mean] (v%)
7,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
7,2,l_CLI2,Ann. mean air temp. [max] (°C)
7,3,l_CLI18,Max temp. of warmest month [max] (°C)
7,4,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
7,5,l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³)
7,6,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
7,7,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
7,8,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
7,9,l_CLI66,Precip. of driest quarter [max] (kg/m²)
7,10,l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100)
8,1,l_CLI38,Mean temp. of warmest quarter [max] (°C)
8,2,l_CLI2,Ann. mean air temp. [max] (°C)
8,3,l_CLI57,Precip. seasonality (CV) [min] (kg/m²)
8,4,l_CLI18,Max temp. of warmest month [max] (°C)
8,5,l_CLI66,Precip. of driest quarter [max] (kg/m²)
8,6,l_SOL25,Bulk density of the fine earth fraction (< 2 mm) [min] (kg/m³)
8,7,l_CLI70,Precip. of warmest quarter [max] (kg/m²)
8,8,l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–)
8,9,l_SOL21,Coarse fragments by volume (>2 mm) [min] (v%)
