species,pathway,cv,n_cells,accuracy,auc,Climate_dAUC,Topography_dAUC,Soil_dAUC,Land Cover_dAUC,note
Procambarus clarkii,intercontinental,random,-,0.9885421518397765,0.9988092721956395,0.21761089610623582,0.000490369166590141,0.001944239208069427,-3.3767456838544875e-05,
Procambarus clarkii,intercontinental,50km,1431,0.9873264098263327,0.9990882489779003,0.22004145097997652,0.0014641917308033125,0.00284551492773772,9.232232267798679e-05,
Procambarus clarkii,intercontinental,100km,715,0.9849105295868663,0.9985176828553364,0.2188633748728589,0.0018383539970600138,0.003934719740745667,6.869199417537164e-05,
Procambarus clarkii,intercontinental,250km,277,0.9782630655121911,0.9961715791648238,0.2225191704904892,0.0016435845748614586,0.005466224713029093,9.140086279817439e-05,
Procambarus clarkii,intercontinental,500km,123,0.9584425168041462,0.9824872447900723,0.21247393949086313,0.001619674184270039,0.007147723245725315,-1.338152436203721e-05,
Faxonius limosus,intercontinental,random,-,0.9997765363128492,1.0,0.09538087624997664,0.00012864032927448755,2.2204460492503132e-17,0.0,
Faxonius limosus,intercontinental,50km,515,0.9997762863534675,1.0,0.09747931365991808,3.956261811945083e-05,4.440892098500626e-18,1.3322676295501878e-17,
Faxonius limosus,intercontinental,100km,202,0.9997762863534675,1.0,0.09466328774815455,0.00018099707105940333,1.3322676295501878e-17,1.3322676295501878e-17,
Faxonius limosus,intercontinental,250km,56,0.9992668982684574,1.0,0.09854468491062797,9.710863501044553e-05,4.440892098500626e-18,0.0,
Faxonius limosus,intercontinental,500km,23,0.9990588959268336,1.0,0.1128835323789846,0.0005412949102748144,3.7897717807764406e-05,8.329168748932858e-07,
Pacifastacus leniusculus,intercontinental,random,-,0.9965032094876751,0.9995742425847114,0.13712294208595202,4.8322125671003134e-05,0.0009514061620954139,0.00012882630016144425,
Pacifastacus leniusculus,intercontinental,50km,467,0.9962853461235592,0.9995434038251568,0.13400547760776094,0.00010640896957268886,0.000985862402466795,0.0001240642015863358,
Pacifastacus leniusculus,intercontinental,100km,228,0.9960662896413487,0.9993746435948051,0.13811474047210115,0.0003647719641334701,0.0018440522856723884,0.00011268886740064765,
Pacifastacus leniusculus,intercontinental,250km,85,0.993882069479185,0.9995058434012947,0.13283655214263645,0.00036670229414064614,0.0021792665212786223,0.0006635466488489428,
Pacifastacus leniusculus,intercontinental,500km,39,0.982298871269327,0.9988977596104519,0.12003606437678788,0.0017062663057435268,0.005810737868275391,0.0010375296789669486,
Faxonius virilis,within-continent,random,-,0.9898170139263737,0.9988888719821466,0.046343328116395695,0.02076875489087906,0.003363046691592064,9.738283627510392e-05,
Faxonius virilis,within-continent,50km,505,0.9847160747058188,0.9980169115729065,0.05202304727125174,0.028870866301481023,0.005452809900588358,0.00012023881981275242,
Faxonius virilis,within-continent,100km,250,0.9800442621181042,0.9974502217198504,0.05152113004666258,0.026307566008752854,0.006004890879053981,1.6095701823024556e-05,
Faxonius virilis,within-continent,250km,93,0.9595978334182849,0.993958243460281,0.06667591624438945,0.030173503824210433,0.021123883664787912,9.12104062622099e-06,
Faxonius virilis,within-continent,500km,36,0.9611380394563535,0.9849808958206296,0.08833444784808807,0.05131850576340415,0.010520290568211754,0.00032453739575704076,
Faxonius rusticus,within-continent,random,-,0.9820329187083804,0.9975487733630276,0.15425580611495882,0.0991252178385423,0.007289394446303117,0.00015335084364058284,
Faxonius rusticus,within-continent,50km,210,0.9810078848169426,0.9963237697603644,0.15727979325374422,0.10451744078986563,0.0055598065441359165,0.00013020774201673467,
Faxonius rusticus,within-continent,100km,97,0.9770356050744736,0.9956447857800883,0.16136121936659792,0.10955807929722429,0.007647526464173611,0.00034129614646935205,
Faxonius rusticus,within-continent,250km,42,0.9606090056550436,0.9815015977389056,0.13369444028170038,0.12899437624438811,0.005074560502218866,-4.805402761308475e-05,
Faxonius rusticus,within-continent,500km,17,0.7882786725059233,0.7427805324749998,0.0865053397055138,0.05964326854168223,0.024568765051910576,0.0073151638117542475,2 single-class fold(s)
