variable,description,native_threshold,invasive_threshold,native_depth,invasive_depth,native_importance,invasive_importance,in_both,threshold_shift,shift_pct
l_SOL45,Soil acidity (WRB class-based) [min] (pH),0.5,,2.0,,0.426036,0.0,False,,
l_TOP116,Outlet elevation (elevation of stream outlet) (m),,467.3,,0.0,0.0,0.37852,False,,
l_SOL2,Derived saturated water content (vol. frac.) [max] (v%),40.5,,0.0,,0.3561,0.0,False,,
l_TOP68,Segment upstream mean gradient (between focal cell and the init or node) [sd] (–),,71195.3438,,3.0,0.0,0.345679,False,,
l_TOP42,Elevation difference of the shortest path from focal grid cell to the sub-catchment drainage divide [max] (m),113.5,,2.0,,0.152778,0.0,False,,
l_CLI41,Mean temp. of coldest quarter [min] (°C),,6.9,,1.0,0.0,0.106965,False,,
l_CLI60,Precip. seasonality (CV) [sd] (kg/m²),,0.2265,,2.0,0.0,0.071779,False,,
l_SOL41,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [min] (pH)",54.5,,1.0,,0.061039,0.0,False,,
l_SOL20,Silt fraction by weight (0.0002–0.05 mm) [sd] (w%),,0.2165,,3.0,0.0,0.039857,False,,
l_CLI57,Precip. seasonality (CV) [min] (kg/m²),,18.05,,1.0,0.0,0.039006,False,,
l_CLI9,Isothermality (bio2 / bio7) (× 100) [min] (°C),34.05,,3.0,,0.03746,0.0,False,,
l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100),832.15,,2.0,,0.034636,0.0,False,,
l_CLI24,Min temp. of coldest month [sd] (°C),,0.3104,,2.0,0.0,0.016441,False,,
l_CLI25,Temp. ann. range (bio5 – bio6) [min] (°C),,31.4,,2.0,0.0,0.013647,False,,
l_SOL1,Derived saturated water content (vol. frac.) [min] (v%),39.5,,1.0,,0.011616,0.0,False,,
l_CLI33,Mean temp. of driest quarter [min] (°C),,17.5,,3.0,0.0,0.008412,False,,
l_TOP97,Segment upstream distance (between focal cell and the init or node) [min] (–),,67.5,,3.0,0.0,0.007802,False,,
