variable,description,native_threshold,invasive_threshold,native_depth,invasive_depth,native_importance,invasive_importance,in_both,threshold_shift,shift_pct
l_SOL38,Soil organic carbon content in ‰ [max] (g/kg),,33.0,,3.0,0.0,0.5,False,,
l_TOP6,Cell minimum curvature (low up-focal-down) [max] (m⁻¹),,22509.0,,2.0,0.0,0.46281,False,,
l_CLI13,Temp. seasonality (SD × 100) [min] (°C/100),,458.0,,0.0,0.0,0.421203,False,,
l_SOL47,Soil acidity (WRB class-based) [mean] (pH),1.1989,,3.0,,0.393491,0.0,False,,
l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100),676.05,,0.0,,0.361512,0.0,False,,
l_CLI50,Precip. of wettest month [max] (kg/m²),,135.1,,2.0,0.0,0.340278,False,,
l_TOP142,"Compound topographic index – a steady state wetness index, also known as topographic wetness index (TWI) (Beven & Kirkby, 1979) (–)",869468160.0,,3.0,,0.244898,0.0,False,,
l_TOP10,Cell elevation difference (between focal cell and downstream cell) [max] (m),,79.0,,3.0,0.0,0.21875,False,,
l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–),115.5,,1.0,,0.168352,0.0,False,,
u_TOP15,Cell gradient [mean] (–),562890.8125,,3.0,,0.054012,0.0,False,,
l_CLI37,Mean temp. of warmest quarter [min] (°C),,16.2,,1.0,0.0,0.034267,False,,
l_SOL59,Probability of occurrence of R horizon [mean] (%),,28.9034,,1.0,0.0,0.033397,False,,
u_TOP117,Difference between source elevation and outlet elevation + outlet drop (m),106.5458,,1.0,,0.01969,0.0,False,,
l_CLI56,Precip. of driest month [sd] (kg/m²),1.6977,,2.0,,0.010487,0.0,False,,
l_CLI2,Ann. mean air temp. [max] (°C),15.3,,2.0,,0.01001,0.0,False,,
l_TOP28,Dist. to its nearest downstream stream grid cell [sd] (m),,43.1559,,3.0,0.0,0.008807,False,,
l_SOL18,Silt fraction by weight (0.0002–0.05 mm) [max] (w%),,40.5,,2.0,0.0,0.008689,False,,
l_CLI61,Precip. of wettest quarter [min] (kg/m²),1241.55,,2.0,,0.006826,0.0,False,,
l_CLI22,Min temp. of coldest month [max] (°C),,4.8,,2.0,0.0,0.004587,False,,
