WoCID,lat_or,long_or,species,pathway_as_classified,continent
WA0625,35.884149,14.382338,Procambarus clarkii,intercontinental,Europe
WA1160,41.915867,15.80497,Procambarus clarkii,intercontinental,Europe
WA1161,39.984594,18.114999,Procambarus clarkii,intercontinental,Europe
WA1162,41.776394,15.319275,Procambarus clarkii,intercontinental,Europe
WA1163,41.907244,15.580607,Procambarus clarkii,intercontinental,Europe
WA1164,41.917686,15.290166,Procambarus clarkii,intercontinental,Europe
WA1165,40.649111,17.1071,Procambarus clarkii,intercontinental,Europe
WA1166,40.610864,16.502547,Procambarus clarkii,intercontinental,Europe
WA1167,40.955469,14.018389,Procambarus clarkii,intercontinental,Europe
WA1168,39.608328,16.290189,Procambarus clarkii,intercontinental,Europe
WA1169,39.723261,16.528661,Procambarus clarkii,intercontinental,Europe
WA1170,37.620864,12.643431,Procambarus clarkii,intercontinental,Europe
WA1171,37.957561,13.650414,Procambarus clarkii,intercontinental,Europe
WA1172,40.407908,9.637647,Procambarus clarkii,intercontinental,Europe
WA1173,39.239206,9.161211,Procambarus clarkii,intercontinental,Europe
WA1174,39.194878,8.970489,Procambarus clarkii,intercontinental,Europe
WA1175,40.887372,9.504833,Procambarus clarkii,intercontinental,Europe
WA1176,40.758703,9.169714,Procambarus clarkii,intercontinental,Europe
WA1177,40.726939,9.128469,Procambarus clarkii,intercontinental,Europe
WA1178,40.715217,9.164664,Procambarus clarkii,intercontinental,Europe
WA1179,45.80095908,8.419078136,Procambarus clarkii,intercontinental,Europe
WC2602,31.60611,-110.15778,Procambarus clarkii,intercontinental,North America
WC2608,32.68887,-117.1986,Procambarus clarkii,intercontinental,North America
WC2612,32.8443,-116.93372,Procambarus clarkii,intercontinental,North America
WC2620,33.0986,-117.131,Procambarus clarkii,intercontinental,North America
WC2627,33.27951,-111.15379,Procambarus clarkii,intercontinental,North America
WC2632,33.4964,-112.071,Procambarus clarkii,intercontinental,North America
WC2651,34.15963,-119.18774,Procambarus clarkii,intercontinental,North America
WC2663,34.60789,-120.20473,Procambarus clarkii,intercontinental,North America
WC2666,34.6894,-106.7437,Procambarus clarkii,intercontinental,North America
WC2674,34.94037,-104.67906,Procambarus clarkii,intercontinental,North America
