variable,mean,std,cv,rank
l_CLI10,0.12804250663622102,0.013662546207704952,0.10670320791611286,1
l_CLI69,0.07430395612524654,0.0036039589200632677,0.048502921082538925,2
l_CLI13,0.06451403806884248,0.0036299696000618347,0.05626635238966625,3
l_CLI65,0.06378511175398444,0.01423357471617281,0.2231488559755277,4
l_CLI53,0.04753349694851307,0.008871965255506415,0.18664659293037658,5
l_TOP102,0.04316943767603278,0.005346671506486625,0.12385316544104628,6
l_CLI61,0.035626157592795984,0.005058746289116366,0.14199528186388818,7
l_TOP30,0.02904378505318448,0.003762803552572207,0.12955623881948672,8
l_SOL26,0.027333144099205557,0.004926777541934475,0.1802492067525328,9
l_SOL27,0.025976974775141205,0.006481803954010685,0.24952112438487178,10
