species,fold,variable,importance,type
Austropotamobius pallipes,1,l_CLI1,0.005193856653878451,Climate
Austropotamobius pallipes,1,l_CLI10,0.003498977396938326,Climate
Austropotamobius pallipes,1,l_CLI12,7.781214608288737e-05,Climate
Austropotamobius pallipes,1,l_CLI13,0.06200266054734147,Climate
Austropotamobius pallipes,1,l_CLI16,0.0008506219884451385,Climate
Austropotamobius pallipes,1,l_CLI17,0.06422357039387008,Climate
Austropotamobius pallipes,1,l_CLI2,0.012196993822586733,Climate
Austropotamobius pallipes,1,l_CLI22,0.011979913632361344,Climate
Austropotamobius pallipes,1,l_CLI24,0.000192866697897197,Climate
Austropotamobius pallipes,1,l_CLI25,0.056792218109098985,Climate
Austropotamobius pallipes,1,l_CLI28,0.00041349539732033115,Climate
Austropotamobius pallipes,1,l_CLI30,0.00030054074121303227,Climate
Austropotamobius pallipes,1,l_CLI32,0.0001531956090553936,Climate
Austropotamobius pallipes,1,l_CLI33,0.0022806910897945083,Climate
Austropotamobius pallipes,1,l_CLI36,0.00030116691451498046,Climate
Austropotamobius pallipes,1,l_CLI39,0.04654031681107959,Climate
Austropotamobius pallipes,1,l_CLI42,0.0027578148978000196,Climate
Austropotamobius pallipes,1,l_CLI45,0.00047317283139570613,Climate
Austropotamobius pallipes,1,l_CLI5,0.08280474242390023,Climate
Austropotamobius pallipes,1,l_CLI53,0.0015236862514217326,Climate
Austropotamobius pallipes,1,l_CLI56,7.846181505424481e-06,Climate
Austropotamobius pallipes,1,l_CLI57,0.00049710662582548,Climate
Austropotamobius pallipes,1,l_CLI60,0.0003876946944379531,Climate
Austropotamobius pallipes,1,l_CLI61,0.0007750313343222844,Climate
Austropotamobius pallipes,1,l_CLI65,0.0012658470718184764,Climate
Austropotamobius pallipes,1,l_CLI69,0.001628432188385692,Climate
Austropotamobius pallipes,1,l_CLI72,2.568839621284499e-05,Climate
Austropotamobius pallipes,1,l_CLI73,0.0004187055414323384,Climate
Austropotamobius pallipes,1,l_CLI76,0.00019221885332535192,Climate
Austropotamobius pallipes,1,l_CLI8,0.001239041959900079,Climate
Austropotamobius pallipes,1,l_LAC1,1.2330238778229547e-05,Land Cover
Austropotamobius pallipes,1,l_LAC10,0.0001783027985723358,Land Cover
Austropotamobius pallipes,1,l_LAC11,3.113807000408219e-06,Land Cover
Austropotamobius pallipes,1,l_LAC12,3.530359710659373e-18,Land Cover
Austropotamobius pallipes,1,l_LAC13,0.00011516370820602264,Land Cover
Austropotamobius pallipes,1,l_LAC15,8.984415598930962e-20,Land Cover
Austropotamobius pallipes,1,l_LAC18,9.34674909252056e-19,Land Cover
Austropotamobius pallipes,1,l_LAC19,0.0008512868203292124,Land Cover
Austropotamobius pallipes,1,l_LAC20,2.2059447627244905e-18,Land Cover
Austropotamobius pallipes,1,l_LAC21,0.00011010781838064226,Land Cover
Austropotamobius pallipes,1,l_LAC3,1.527395155352486e-05,Land Cover
Austropotamobius pallipes,1,l_LAC4,3.794021649010909e-05,Land Cover
Austropotamobius pallipes,1,l_LAC5,2.7107664680031847e-18,Land Cover
Austropotamobius pallipes,1,l_LAC6,0.0004180483287837168,Land Cover
Austropotamobius pallipes,1,l_LAC7,5.6696700027410226e-05,Land Cover
Austropotamobius pallipes,1,l_LAC9,0.0003115786260601298,Land Cover
Austropotamobius pallipes,1,l_SOL1,0.010913927442498084,Soil
Austropotamobius pallipes,1,l_SOL10,0.0010451224449052577,Soil
Austropotamobius pallipes,1,l_SOL11,0.0002378137555898953,Soil
Austropotamobius pallipes,1,l_SOL12,7.827374610589008e-05,Soil
Austropotamobius pallipes,1,l_SOL13,0.0026508755833757275,Soil
Austropotamobius pallipes,1,l_SOL14,0.0013414693416632017,Soil
Austropotamobius pallipes,1,l_SOL15,0.0014481154008274995,Soil
Austropotamobius pallipes,1,l_SOL16,7.883287693585037e-05,Soil
Austropotamobius pallipes,1,l_SOL17,0.0008325349614803784,Soil
Austropotamobius pallipes,1,l_SOL18,0.0009617079242212771,Soil
Austropotamobius pallipes,1,l_SOL19,0.0019719262274725787,Soil
Austropotamobius pallipes,1,l_SOL2,0.01536440460698275,Soil
Austropotamobius pallipes,1,l_SOL20,0.00013818325866642986,Soil
Austropotamobius pallipes,1,l_SOL21,0.00021384924478280089,Soil
Austropotamobius pallipes,1,l_SOL22,0.000430584450169317,Soil
Austropotamobius pallipes,1,l_SOL23,0.0002641832464264391,Soil
Austropotamobius pallipes,1,l_SOL24,7.54272688895463e-05,Soil
Austropotamobius pallipes,1,l_SOL25,0.031052726812634147,Soil
Austropotamobius pallipes,1,l_SOL26,0.03714877965861127,Soil
Austropotamobius pallipes,1,l_SOL27,0.04014834277299634,Soil
Austropotamobius pallipes,1,l_SOL28,0.0001986254679012776,Soil
Austropotamobius pallipes,1,l_SOL29,0.00022738046363021902,Soil
Austropotamobius pallipes,1,l_SOL3,0.021548508658175022,Soil
Austropotamobius pallipes,1,l_SOL30,0.00013185710420494614,Soil
Austropotamobius pallipes,1,l_SOL31,0.0003914528571643805,Soil
Austropotamobius pallipes,1,l_SOL32,0.00014731125012720122,Soil
Austropotamobius pallipes,1,l_SOL33,0.014504801081502762,Soil
Austropotamobius pallipes,1,l_SOL34,0.010392134892238097,Soil
Austropotamobius pallipes,1,l_SOL35,0.01967772529831201,Soil
Austropotamobius pallipes,1,l_SOL36,0.00010685872970381546,Soil
Austropotamobius pallipes,1,l_SOL37,0.018353147495972083,Soil
Austropotamobius pallipes,1,l_SOL38,0.005502551361953078,Soil
Austropotamobius pallipes,1,l_SOL39,0.019934001233809798,Soil
Austropotamobius pallipes,1,l_SOL4,0.0004222809952252692,Soil
Austropotamobius pallipes,1,l_SOL40,0.000631433859813589,Soil
Austropotamobius pallipes,1,l_SOL41,0.00017909057307339212,Soil
Austropotamobius pallipes,1,l_SOL42,0.00011522740194582669,Soil
Austropotamobius pallipes,1,l_SOL43,9.606512825506582e-05,Soil
Austropotamobius pallipes,1,l_SOL44,0.00028590754397550793,Soil
Austropotamobius pallipes,1,l_SOL45,8.079466009423346e-05,Soil
Austropotamobius pallipes,1,l_SOL46,8.428971139191915e-06,Soil
Austropotamobius pallipes,1,l_SOL47,8.282244031040043e-06,Soil
Austropotamobius pallipes,1,l_SOL48,1.67320426332478e-05,Soil
Austropotamobius pallipes,1,l_SOL5,9.363861815051546e-05,Soil
Austropotamobius pallipes,1,l_SOL53,0.0003011726202069604,Soil
Austropotamobius pallipes,1,l_SOL54,6.4453939039729e-05,Soil
Austropotamobius pallipes,1,l_SOL55,0.0006577167975621761,Soil
Austropotamobius pallipes,1,l_SOL56,0.0012883223020035395,Soil
Austropotamobius pallipes,1,l_SOL57,0.0009907333410432723,Soil
Austropotamobius pallipes,1,l_SOL58,0.0011887712419874482,Soil
Austropotamobius pallipes,1,l_SOL59,0.0036170778233107627,Soil
Austropotamobius pallipes,1,l_SOL6,0.00013915617866726786,Soil
Austropotamobius pallipes,1,l_SOL60,0.00010225127703299298,Soil
Austropotamobius pallipes,1,l_SOL7,0.00017339977668769563,Soil
Austropotamobius pallipes,1,l_SOL8,5.5884435829891764e-05,Soil
Austropotamobius pallipes,1,l_SOL9,0.0001583250809120243,Soil
Austropotamobius pallipes,1,l_TOP1,0.00023455451112034718,Topography
Austropotamobius pallipes,1,l_TOP10,0.0020962929174373835,Topography
Austropotamobius pallipes,1,l_TOP101,0.01414402219206247,Topography
Austropotamobius pallipes,1,l_TOP102,0.06333539436498942,Topography
Austropotamobius pallipes,1,l_TOP103,0.00011472330845089867,Topography
Austropotamobius pallipes,1,l_TOP104,0.0011900609037312612,Topography
Austropotamobius pallipes,1,l_TOP105,0.00045139193375155285,Topography
Austropotamobius pallipes,1,l_TOP106,0.000386999945753652,Topography
Austropotamobius pallipes,1,l_TOP107,0.00045987415440584844,Topography
Austropotamobius pallipes,1,l_TOP108,0.000563228695447079,Topography
Austropotamobius pallipes,1,l_TOP109,0.015595805624301287,Topography
Austropotamobius pallipes,1,l_TOP111,0.00024103043119668777,Topography
Austropotamobius pallipes,1,l_TOP112,0.0001800072518276776,Topography
Austropotamobius pallipes,1,l_TOP116,0.03683653437295982,Topography
Austropotamobius pallipes,1,l_TOP118,0.0006266513765227739,Topography
Austropotamobius pallipes,1,l_TOP12,0.002701196721989506,Topography
Austropotamobius pallipes,1,l_TOP125,0.00021849636080592858,Topography
Austropotamobius pallipes,1,l_TOP126,0.000189728417737355,Topography
Austropotamobius pallipes,1,l_TOP127,7.490138089486232e-05,Topography
Austropotamobius pallipes,1,l_TOP128,0.0004995918353232017,Topography
Austropotamobius pallipes,1,l_TOP13,9.253152908379201e-05,Topography
Austropotamobius pallipes,1,l_TOP132,0.0003999427251341681,Topography
Austropotamobius pallipes,1,l_TOP133,0.00010894824613871427,Topography
Austropotamobius pallipes,1,l_TOP134,0.001083665960745547,Topography
Austropotamobius pallipes,1,l_TOP135,0.0009116761583885343,Topography
