variable,mean,std,cv,rank
l_CLI5,0.07874071586428541,0.010167544677176335,0.12912690169976024,1
l_CLI25,0.06591521537614888,0.011479431757000932,0.17415450577674535,2
l_CLI13,0.06102986259688109,0.013335307712254066,0.21850463272934784,3
l_CLI17,0.05762184069006848,0.005758077774775786,0.09992873719093515,4
l_CLI39,0.05071114357663385,0.004986292670094755,0.0983273560486671,5
l_TOP102,0.049325312239756135,0.013473137472602668,0.273148549108288,6
l_TOP116,0.038605260507981375,0.0020183504774018094,0.052281747379596864,7
l_SOL27,0.03706773812405658,0.008089070440509513,0.21822400960742164,8
l_SOL26,0.03417871998826894,0.0042246639718951364,0.12360509619275253,9
l_SOL3,0.028611775676609053,0.0057624385538990585,0.20140094131277625,10
