species,fold,variable,importance,type
Faxonius limosus,1,l_CLI12,2.412741447622581e-06,Climate
Faxonius limosus,1,l_CLI13,0.08118220568727358,Climate
Faxonius limosus,1,l_CLI16,9.025933018956204e-06,Climate
Faxonius limosus,1,l_CLI19,0.05246648843807459,Climate
Faxonius limosus,1,l_CLI2,0.0007307742132089219,Climate
Faxonius limosus,1,l_CLI20,5.767289634194655e-05,Climate
Faxonius limosus,1,l_CLI22,0.0182536583873209,Climate
Faxonius limosus,1,l_CLI24,2.113580273353554e-05,Climate
Faxonius limosus,1,l_CLI25,0.09224901656815736,Climate
Faxonius limosus,1,l_CLI28,0.0001008190925838802,Climate
Faxonius limosus,1,l_CLI30,0.03957248566689662,Climate
Faxonius limosus,1,l_CLI32,2.9972505173369703e-05,Climate
Faxonius limosus,1,l_CLI33,0.03558894161166666,Climate
Faxonius limosus,1,l_CLI36,2.9000906642130607e-05,Climate
Faxonius limosus,1,l_CLI4,6.21240788285526e-05,Climate
Faxonius limosus,1,l_CLI40,5.159192330778459e-05,Climate
Faxonius limosus,1,l_CLI42,0.009192370979778581,Climate
Faxonius limosus,1,l_CLI44,6.26297081356557e-05,Climate
Faxonius limosus,1,l_CLI45,0.03991134031180207,Climate
Faxonius limosus,1,l_CLI49,0.03557895136911906,Climate
Faxonius limosus,1,l_CLI5,0.04002949572031978,Climate
Faxonius limosus,1,l_CLI52,0.00011066240306428474,Climate
Faxonius limosus,1,l_CLI56,7.212780023731268e-05,Climate
Faxonius limosus,1,l_CLI57,0.008815834293782607,Climate
Faxonius limosus,1,l_CLI60,0.00015032457306840894,Climate
Faxonius limosus,1,l_CLI61,0.045744389367927546,Climate
Faxonius limosus,1,l_CLI65,0.03257878122000382,Climate
Faxonius limosus,1,l_CLI69,0.070526043964324,Climate
Faxonius limosus,1,l_CLI72,3.773115057483105e-05,Climate
Faxonius limosus,1,l_CLI73,0.015399442901240425,Climate
Faxonius limosus,1,l_CLI76,6.373492386120689e-05,Climate
Faxonius limosus,1,l_CLI8,2.436545133862236e-05,Climate
Faxonius limosus,1,l_CLI9,0.023078210714771064,Climate
Faxonius limosus,1,l_LAC1,0.0029625698308095444,Land Cover
Faxonius limosus,1,l_LAC10,5.025576046627991e-06,Land Cover
Faxonius limosus,1,l_LAC11,3.5011421214434417e-06,Land Cover
Faxonius limosus,1,l_LAC12,0.0,Land Cover
Faxonius limosus,1,l_LAC13,1.5949690388157442e-05,Land Cover
Faxonius limosus,1,l_LAC15,6.688045921156356e-18,Land Cover
Faxonius limosus,1,l_LAC16,0.00013815784031979733,Land Cover
Faxonius limosus,1,l_LAC18,9.703315835319868e-18,Land Cover
Faxonius limosus,1,l_LAC19,1.7839577562091716e-05,Land Cover
Faxonius limosus,1,l_LAC2,0.0,Land Cover
Faxonius limosus,1,l_LAC20,0.0,Land Cover
Faxonius limosus,1,l_LAC21,2.3465924943265994e-05,Land Cover
Faxonius limosus,1,l_LAC3,0.00027398001400283297,Land Cover
Faxonius limosus,1,l_LAC4,0.0003354875164030347,Land Cover
Faxonius limosus,1,l_LAC6,0.00014562856154578472,Land Cover
Faxonius limosus,1,l_LAC7,7.577421328477923e-05,Land Cover
Faxonius limosus,1,l_LAC8,1.315939948846934e-17,Land Cover
Faxonius limosus,1,l_LAC9,8.325899252659577e-06,Land Cover
Faxonius limosus,1,l_SOL1,0.005909850634409124,Soil
Faxonius limosus,1,l_SOL10,0.0007031332909664285,Soil
Faxonius limosus,1,l_SOL12,2.1425342535372986e-05,Soil
Faxonius limosus,1,l_SOL13,0.00023932845829073695,Soil
Faxonius limosus,1,l_SOL16,6.420063206983444e-05,Soil
Faxonius limosus,1,l_SOL18,0.0001644610199610232,Soil
Faxonius limosus,1,l_SOL2,0.006399061615520344,Soil
Faxonius limosus,1,l_SOL20,7.154539766768109e-05,Soil
Faxonius limosus,1,l_SOL21,0.000608176685537377,Soil
Faxonius limosus,1,l_SOL24,8.612360602664135e-05,Soil
Faxonius limosus,1,l_SOL25,0.0014755020046683717,Soil
Faxonius limosus,1,l_SOL26,0.0037750759543028647,Soil
Faxonius limosus,1,l_SOL27,0.0021892085010085413,Soil
Faxonius limosus,1,l_SOL28,0.00010620204209482318,Soil
Faxonius limosus,1,l_SOL29,0.001675387272179476,Soil
Faxonius limosus,1,l_SOL3,0.01178917864365158,Soil
Faxonius limosus,1,l_SOL30,0.0022343981770863003,Soil
Faxonius limosus,1,l_SOL31,0.0017752896734615244,Soil
Faxonius limosus,1,l_SOL32,9.469612661547698e-05,Soil
Faxonius limosus,1,l_SOL33,3.5802468620821015e-05,Soil
Faxonius limosus,1,l_SOL35,0.00032501087332793366,Soil
Faxonius limosus,1,l_SOL36,6.843782993810967e-05,Soil
Faxonius limosus,1,l_SOL37,0.00013869230288734543,Soil
Faxonius limosus,1,l_SOL38,0.00021408017219633468,Soil
Faxonius limosus,1,l_SOL39,0.0004630618051104277,Soil
Faxonius limosus,1,l_SOL4,1.2103281334054153e-06,Soil
Faxonius limosus,1,l_SOL40,0.00010926586451338234,Soil
Faxonius limosus,1,l_SOL42,0.01011387725339213,Soil
Faxonius limosus,1,l_SOL44,0.00011908182542241294,Soil
Faxonius limosus,1,l_SOL45,0.0057745555667050846,Soil
Faxonius limosus,1,l_SOL46,0.0021024874836131574,Soil
Faxonius limosus,1,l_SOL47,0.00278729873304829,Soil
Faxonius limosus,1,l_SOL48,3.30805773319372e-05,Soil
Faxonius limosus,1,l_SOL50,0.0,Soil
Faxonius limosus,1,l_SOL51,1.6098894640053763e-20,Soil
Faxonius limosus,1,l_SOL52,3.940285423177593e-17,Soil
Faxonius limosus,1,l_SOL53,6.78709612167712e-06,Soil
Faxonius limosus,1,l_SOL54,2.411802659452591e-06,Soil
Faxonius limosus,1,l_SOL55,7.364018622984379e-06,Soil
Faxonius limosus,1,l_SOL56,7.707536283401053e-05,Soil
Faxonius limosus,1,l_SOL57,0.00016051131451273818,Soil
Faxonius limosus,1,l_SOL58,8.227854502631721e-05,Soil
Faxonius limosus,1,l_SOL59,7.247933419828182e-05,Soil
Faxonius limosus,1,l_SOL6,0.00023473432210625416,Soil
Faxonius limosus,1,l_SOL60,0.00011578606880417887,Soil
Faxonius limosus,1,l_SOL7,0.002698089859009729,Soil
Faxonius limosus,1,l_SOL8,2.626554023879463e-05,Soil
Faxonius limosus,1,l_SOL9,0.0006556534909527527,Soil
Faxonius limosus,1,l_TOP1,0.0001484583788649034,Topography
Faxonius limosus,1,l_TOP10,0.00012543668763233907,Topography
Faxonius limosus,1,l_TOP101,0.017715603936158217,Topography
Faxonius limosus,1,l_TOP102,0.06598099830200035,Topography
Faxonius limosus,1,l_TOP103,0.0007837950036157868,Topography
Faxonius limosus,1,l_TOP104,0.00019741342924808238,Topography
Faxonius limosus,1,l_TOP105,0.0004020132991316351,Topography
Faxonius limosus,1,l_TOP106,0.0004482769221415523,Topography
Faxonius limosus,1,l_TOP107,5.905694473173594e-05,Topography
Faxonius limosus,1,l_TOP108,0.0005047740661837063,Topography
Faxonius limosus,1,l_TOP111,8.786250329084564e-05,Topography
Faxonius limosus,1,l_TOP112,7.891650206724507e-05,Topography
Faxonius limosus,1,l_TOP113,0.0008133728527361437,Topography
Faxonius limosus,1,l_TOP118,0.00015079050844979744,Topography
Faxonius limosus,1,l_TOP119,8.375174574650081e-05,Topography
Faxonius limosus,1,l_TOP12,5.21747208282114e-05,Topography
Faxonius limosus,1,l_TOP124,0.0010506106529949133,Topography
Faxonius limosus,1,l_TOP125,7.259313453348166e-05,Topography
Faxonius limosus,1,l_TOP126,7.439045777250672e-05,Topography
Faxonius limosus,1,l_TOP127,7.252106718298078e-05,Topography
Faxonius limosus,1,l_TOP13,0.00010506916893844412,Topography
Faxonius limosus,1,l_TOP132,0.00023991949683662287,Topography
Faxonius limosus,1,l_TOP133,7.312372874121175e-06,Topography
Faxonius limosus,1,l_TOP134,0.00010226776977623067,Topography
Faxonius limosus,1,l_TOP135,6.841727347133265e-05,Topography
Faxonius limosus,1,l_TOP136,8.250366443601067e-05,Topography
Faxonius limosus,1,l_TOP137,0.00010970281897018312,Topography
Faxonius limosus,1,l_TOP138,4.745721769263022e-05,Topography
Faxonius limosus,1,l_TOP139,0.00014722690099754578,Topography
Faxonius limosus,1,l_TOP14,8.531667610426874e-05,Topography
Faxonius limosus,1,l_TOP140,0.0002009425759893468,Topography
Faxonius limosus,1,l_TOP141,6.705627636647646e-05,Topography
Faxonius limosus,1,l_TOP142,0.00027528927879175765,Topography
Faxonius limosus,1,l_TOP143,0.00019352844667647198,Topography
Faxonius limosus,1,l_TOP144,0.00040868464592534466,Topography
Faxonius limosus,1,l_TOP15,0.00012212043088529842,Topography
Faxonius limosus,1,l_TOP16,7.443831738056528e-05,Topography
Faxonius limosus,1,l_TOP17,5.3472523345382364e-18,Topography
Faxonius limosus,1,l_TOP18,3.0339450118845e-05,Topography
Faxonius limosus,1,l_TOP19,0.00015031025670382523,Topography
Faxonius limosus,1,l_TOP2,4.436744677243702e-05,Topography
Faxonius limosus,1,l_TOP20,7.08673419394023e-05,Topography
Faxonius limosus,1,l_TOP21,1.747381069486111e-17,Topography
Faxonius limosus,1,l_TOP23,0.0003442729943035601,Topography
Faxonius limosus,1,l_TOP26,7.950590732567476e-05,Topography
Faxonius limosus,1,l_TOP27,3.137440515830986e-05,Topography
Faxonius limosus,1,l_TOP28,6.582484761619652e-05,Topography
Faxonius limosus,1,l_TOP29,0.009104554498738138,Topography
Faxonius limosus,1,l_TOP32,0.00010332254457153049,Topography
Faxonius limosus,1,l_TOP38,6.231094692809974e-05,Topography
Faxonius limosus,1,l_TOP39,2.263562995926827e-05,Topography
Faxonius limosus,1,l_TOP4,6.140275074931691e-05,Topography
Faxonius limosus,1,l_TOP40,1.6867253889216372e-05,Topography
Faxonius limosus,1,l_TOP41,9.841243203233183e-19,Topography
Faxonius limosus,1,l_TOP42,4.712111923841859e-05,Topography
Faxonius limosus,1,l_TOP43,8.684506754485222e-05,Topography
Faxonius limosus,1,l_TOP44,7.67897651399235e-05,Topography
Faxonius limosus,1,l_TOP45,7.07699286324491e-18,Topography
Faxonius limosus,1,l_TOP47,8.976236863794515e-05,Topography
Faxonius limosus,1,l_TOP48,0.00016018954606359306,Topography
Faxonius limosus,1,l_TOP49,5.113283439010268e-06,Topography
Faxonius limosus,1,l_TOP51,0.0001285398271682887,Topography
Faxonius limosus,1,l_TOP52,0.00011545802941638459,Topography
Faxonius limosus,1,l_TOP53,0.001064985236552232,Topography
Faxonius limosus,1,l_TOP59,6.88771538187062e-05,Topography
Faxonius limosus,1,l_TOP6,9.119684365907835e-05,Topography
Faxonius limosus,1,l_TOP60,2.9295837040865053e-05,Topography
Faxonius limosus,1,l_TOP65,0.00023038917796368898,Topography
Faxonius limosus,1,l_TOP66,9.770968232317169e-05,Topography
Faxonius limosus,1,l_TOP67,0.0005902542294321072,Topography
Faxonius limosus,1,l_TOP68,0.0001143344160356739,Topography
Faxonius limosus,1,l_TOP69,2.303769320609657e-05,Topography
Faxonius limosus,1,l_TOP7,0.00011888463301755203,Topography
Faxonius limosus,1,l_TOP70,0.00022127790260555698,Topography
Faxonius limosus,1,l_TOP73,1.4407096753348954e-05,Topography
Faxonius limosus,1,l_TOP74,0.0004428446357385047,Topography
Faxonius limosus,1,l_TOP75,0.00025209272007711825,Topography
Faxonius limosus,1,l_TOP76,0.0001908668634413968,Topography
Faxonius limosus,1,l_TOP78,3.553402917258149e-05,Topography
Faxonius limosus,1,l_TOP79,2.5761671498943834e-05,Topography
Faxonius limosus,1,l_TOP83,6.214123493309078e-05,Topography
Faxonius limosus,1,l_TOP85,6.560768552228752e-05,Topography
Faxonius limosus,1,l_TOP89,4.6788354763550256e-05,Topography
Faxonius limosus,1,l_TOP9,9.275304933049546e-06,Topography
Faxonius limosus,1,l_TOP90,0.0001771818726398908,Topography
Faxonius limosus,1,l_TOP91,2.5589452747068184e-05,Topography
Faxonius limosus,1,l_TOP92,1.9708971465905026e-05,Topography
Faxonius limosus,1,l_TOP93,0.006414421573000154,Topography
Faxonius limosus,1,l_TOP97,0.013596340001427131,Topography
Faxonius limosus,1,l_TOP99,0.00011663094271428007,Topography
Faxonius limosus,1,u_CLI11,0.007351395505006437,Climate
Faxonius limosus,1,u_CLI15,0.02122072053161343,Climate
Faxonius limosus,1,u_CLI19,0.010568867106768371,Climate
Faxonius limosus,1,u_CLI23,0.00197846444598732,Climate
Faxonius limosus,1,u_CLI27,0.018357386526211317,Climate
Faxonius limosus,1,u_CLI3,0.000368338108025891,Climate
Faxonius limosus,1,u_CLI31,0.005039340763408188,Climate
Faxonius limosus,1,u_CLI35,0.0043781380535736015,Climate
Faxonius limosus,1,u_CLI43,0.001845935720249975,Climate
Faxonius limosus,1,u_CLI47,0.0072359347243909685,Climate
Faxonius limosus,1,u_CLI59,0.0024999454362202465,Climate
Faxonius limosus,1,u_CLI63,0.002999663435995355,Climate
Faxonius limosus,1,u_CLI67,0.005584586030331259,Climate
Faxonius limosus,1,u_CLI7,0.00830826731118955,Climate
Faxonius limosus,1,u_CLI71,0.01761681770210394,Climate
Faxonius limosus,1,u_CLI75,0.002206245380822902,Climate
Faxonius limosus,1,u_LAC1,0.001029503077576452,Land Cover
Faxonius limosus,1,u_LAC10,4.816165839242328e-05,Land Cover
Faxonius limosus,1,u_LAC11,2.278859550311547e-06,Land Cover
Faxonius limosus,1,u_LAC12,5.2066576264312127e-05,Land Cover
Faxonius limosus,1,u_LAC13,6.730582892900491e-05,Land Cover
Faxonius limosus,1,u_LAC15,0.00015362486563023776,Land Cover
Faxonius limosus,1,u_LAC16,0.0003373041846457383,Land Cover
Faxonius limosus,1,u_LAC18,6.254999608000812e-06,Land Cover
Faxonius limosus,1,u_LAC19,6.412199932384436e-05,Land Cover
Faxonius limosus,1,u_LAC2,7.154177227741825e-18,Land Cover
Faxonius limosus,1,u_LAC20,6.90010056136228e-05,Land Cover
Faxonius limosus,1,u_LAC21,0.00015255247784379627,Land Cover
Faxonius limosus,1,u_LAC22,2.4583679363632316e-06,Land Cover
Faxonius limosus,1,u_LAC3,0.002871537573681512,Land Cover
Faxonius limosus,1,u_LAC4,0.0009436119653428414,Land Cover
Faxonius limosus,1,u_LAC6,0.00034205587584671006,Land Cover
Faxonius limosus,1,u_LAC7,0.0001982095842836757,Land Cover
Faxonius limosus,1,u_LAC8,1.228603665262118e-05,Land Cover
Faxonius limosus,1,u_LAC9,1.3924580402016681e-05,Land Cover
Faxonius limosus,1,u_SOL11,0.0003187678276255906,Soil
Faxonius limosus,1,u_SOL15,8.941953727293086e-05,Soil
Faxonius limosus,1,u_SOL19,9.196953788079894e-05,Soil
Faxonius limosus,1,u_SOL23,0.0004736786202951981,Soil
Faxonius limosus,1,u_SOL27,0.0034966697105662044,Soil
Faxonius limosus,1,u_SOL3,0.006748212892476425,Soil
Faxonius limosus,1,u_SOL31,0.0009198513684117939,Soil
Faxonius limosus,1,u_SOL35,0.000686098591833819,Soil
Faxonius limosus,1,u_SOL39,0.00014617792884532535,Soil
Faxonius limosus,1,u_SOL43,0.00258182205057682,Soil
Faxonius limosus,1,u_SOL47,0.0016654655843422884,Soil
Faxonius limosus,1,u_SOL51,7.175869653558639e-06,Soil
Faxonius limosus,1,u_SOL55,4.262631785570685e-05,Soil
Faxonius limosus,1,u_SOL59,0.00012416463410755258,Soil
Faxonius limosus,1,u_SOL7,0.0007904641669357234,Soil
Faxonius limosus,1,u_TOP103,0.007328507225263986,Topography
Faxonius limosus,1,u_TOP11,0.0012070088282194803,Topography
Faxonius limosus,1,u_TOP110,0.00011403774970394384,Topography
Faxonius limosus,1,u_TOP111,6.333923051941126e-05,Topography
Faxonius limosus,1,u_TOP112,7.307709648096415e-05,Topography
Faxonius limosus,1,u_TOP113,6.914303791319209e-05,Topography
Faxonius limosus,1,u_TOP114,0.002183597708272856,Topography
Faxonius limosus,1,u_TOP117,6.959083911033554e-05,Topography
Faxonius limosus,1,u_TOP122,0.00039066853672935497,Topography
Faxonius limosus,1,u_TOP126,1.899289275954355e-05,Topography
Faxonius limosus,1,u_TOP135,2.548139482371556e-05,Topography
Faxonius limosus,1,u_TOP139,0.0001862667430302414,Topography
Faxonius limosus,1,u_TOP143,0.00020158480359072233,Topography
Faxonius limosus,1,u_TOP15,0.0006724964277380524,Topography
Faxonius limosus,1,u_TOP19,0.0004599012184820784,Topography
