variable,mean,std,cv,rank
l_CLI25,0.09159179951248117,0.008855628095001658,0.09668581840446214,1
l_CLI13,0.08367862111155844,0.009585998184473058,0.11455731532302885,2
l_CLI69,0.0716012559294598,0.014049466838990297,0.1962181620505591,3
l_TOP102,0.06379911588623104,0.006109531797277322,0.09576201350771173,4
l_CLI45,0.046479064996839445,0.006811428569211746,0.14654831308837474,5
l_CLI61,0.04109232667201858,0.007466911512266072,0.1817106043146151,6
l_CLI19,0.040227234576276506,0.008261336423832234,0.20536674993573262,7
l_CLI30,0.03966371861474489,0.0035624575521727934,0.08981652947811249,8
l_CLI5,0.03728912936268382,0.005473894356300578,0.14679598182784187,9
l_CLI49,0.03348869747504787,0.00764220495267642,0.22820251394879001,10
