species,fold,variable,importance,type
Faxonius rusticus,1,l_CLI1,0.013740323329735609,Climate
Faxonius rusticus,1,l_CLI12,0.00029745716439574056,Climate
Faxonius rusticus,1,l_CLI14,0.01986968981503442,Climate
Faxonius rusticus,1,l_CLI16,0.0003146680404151015,Climate
Faxonius rusticus,1,l_CLI17,0.0024618186095593146,Climate
Faxonius rusticus,1,l_CLI20,0.0003157683015784986,Climate
Faxonius rusticus,1,l_CLI21,0.05055203442912895,Climate
Faxonius rusticus,1,l_CLI24,0.0002775012019170898,Climate
Faxonius rusticus,1,l_CLI26,0.052346746281855226,Climate
Faxonius rusticus,1,l_CLI28,0.0002185759973431383,Climate
Faxonius rusticus,1,l_CLI30,0.0035249000325164865,Climate
Faxonius rusticus,1,l_CLI32,0.00016142652157159326,Climate
Faxonius rusticus,1,l_CLI33,0.04560435291476346,Climate
Faxonius rusticus,1,l_CLI36,0.00029384315149354965,Climate
Faxonius rusticus,1,l_CLI38,0.0020663505039265244,Climate
Faxonius rusticus,1,l_CLI4,0.00019749904425558768,Climate
Faxonius rusticus,1,l_CLI40,0.00012175428610563383,Climate
Faxonius rusticus,1,l_CLI44,0.00018137071637009332,Climate
Faxonius rusticus,1,l_CLI45,0.003163262709636154,Climate
Faxonius rusticus,1,l_CLI49,0.0031940857700045178,Climate
Faxonius rusticus,1,l_CLI52,0.0003453912894720069,Climate
Faxonius rusticus,1,l_CLI57,0.04199730581919737,Climate
Faxonius rusticus,1,l_CLI6,0.0033954764299644015,Climate
Faxonius rusticus,1,l_CLI60,0.0002666764981282118,Climate
Faxonius rusticus,1,l_CLI62,0.003372788436758257,Climate
Faxonius rusticus,1,l_CLI65,0.015174916703612087,Climate
Faxonius rusticus,1,l_CLI71,0.010333995742899766,Climate
Faxonius rusticus,1,l_CLI72,0.00030517839677728526,Climate
Faxonius rusticus,1,l_CLI73,0.015633355567323908,Climate
Faxonius rusticus,1,l_CLI8,0.00036309142879206827,Climate
Faxonius rusticus,1,l_CLI9,0.008440272298459445,Climate
Faxonius rusticus,1,l_LAC1,0.0006962205836717918,Land Cover
Faxonius rusticus,1,l_LAC10,0.0002115540646841357,Land Cover
Faxonius rusticus,1,l_LAC11,3.946883272274783e-05,Land Cover
Faxonius rusticus,1,l_LAC12,0.0,Land Cover
Faxonius rusticus,1,l_LAC13,0.00015059085324075502,Land Cover
Faxonius rusticus,1,l_LAC15,0.0,Land Cover
Faxonius rusticus,1,l_LAC16,3.052436792287893e-05,Land Cover
Faxonius rusticus,1,l_LAC18,6.58940630966752e-05,Land Cover
Faxonius rusticus,1,l_LAC19,0.00024770782567843394,Land Cover
Faxonius rusticus,1,l_LAC20,1.8143105406350703e-05,Land Cover
Faxonius rusticus,1,l_LAC21,0.00017832534391869727,Land Cover
Faxonius rusticus,1,l_LAC3,0.0002509143638761577,Land Cover
Faxonius rusticus,1,l_LAC4,0.0002118488685036592,Land Cover
Faxonius rusticus,1,l_LAC6,0.00021872962577795623,Land Cover
Faxonius rusticus,1,l_LAC7,3.283198788635745e-05,Land Cover
Faxonius rusticus,1,l_LAC8,7.221660465930563e-06,Land Cover
Faxonius rusticus,1,l_LAC9,3.187123708271759e-06,Land Cover
Faxonius rusticus,1,l_SOL1,0.00023408379435476605,Soil
Faxonius rusticus,1,l_SOL10,0.008481485217165184,Soil
Faxonius rusticus,1,l_SOL11,0.009750950828947124,Soil
Faxonius rusticus,1,l_SOL12,0.0006214534113605294,Soil
Faxonius rusticus,1,l_SOL13,0.007870270391490715,Soil
Faxonius rusticus,1,l_SOL16,0.000491206707544441,Soil
Faxonius rusticus,1,l_SOL17,0.003966380867037844,Soil
Faxonius rusticus,1,l_SOL18,0.003602754766548913,Soil
Faxonius rusticus,1,l_SOL19,0.004550785972989011,Soil
Faxonius rusticus,1,l_SOL2,0.00022595510601677025,Soil
Faxonius rusticus,1,l_SOL20,0.000529674676577397,Soil
Faxonius rusticus,1,l_SOL21,0.001196457975126612,Soil
Faxonius rusticus,1,l_SOL22,0.0020091104088597296,Soil
Faxonius rusticus,1,l_SOL23,0.001937291752149509,Soil
Faxonius rusticus,1,l_SOL24,0.00034700904530487645,Soil
Faxonius rusticus,1,l_SOL25,0.0067556954865025534,Soil
Faxonius rusticus,1,l_SOL26,0.009752249436237209,Soil
Faxonius rusticus,1,l_SOL27,0.009848763385102694,Soil
Faxonius rusticus,1,l_SOL28,0.0004490767107408602,Soil
Faxonius rusticus,1,l_SOL29,0.007976573631155073,Soil
Faxonius rusticus,1,l_SOL3,0.0005279111372297065,Soil
Faxonius rusticus,1,l_SOL30,0.006497831639878692,Soil
Faxonius rusticus,1,l_SOL31,0.010164666063313673,Soil
Faxonius rusticus,1,l_SOL32,0.0003900797642862649,Soil
Faxonius rusticus,1,l_SOL33,0.00028445344805098455,Soil
Faxonius rusticus,1,l_SOL34,0.0006337599387248372,Soil
Faxonius rusticus,1,l_SOL35,0.0004974013514841461,Soil
Faxonius rusticus,1,l_SOL36,0.0005335468321384816,Soil
Faxonius rusticus,1,l_SOL37,0.0005878990703933502,Soil
Faxonius rusticus,1,l_SOL38,0.000574039657967498,Soil
Faxonius rusticus,1,l_SOL39,0.0010318407033559226,Soil
Faxonius rusticus,1,l_SOL4,0.00035856512604244914,Soil
Faxonius rusticus,1,l_SOL40,0.0007919835084091516,Soil
Faxonius rusticus,1,l_SOL42,0.0012637055989736447,Soil
Faxonius rusticus,1,l_SOL44,0.0005016435753294231,Soil
Faxonius rusticus,1,l_SOL45,0.00018546577417003613,Soil
Faxonius rusticus,1,l_SOL46,0.00013567320277360552,Soil
Faxonius rusticus,1,l_SOL47,0.00039369257403048223,Soil
Faxonius rusticus,1,l_SOL48,0.00027683908549047003,Soil
Faxonius rusticus,1,l_SOL5,0.0033364759814672397,Soil
Faxonius rusticus,1,l_SOL53,0.00034331092660558495,Soil
Faxonius rusticus,1,l_SOL54,5.082818902575423e-05,Soil
Faxonius rusticus,1,l_SOL55,0.00013733627325010947,Soil
Faxonius rusticus,1,l_SOL56,0.00035400170589292056,Soil
Faxonius rusticus,1,l_SOL57,0.0011557746888948273,Soil
Faxonius rusticus,1,l_SOL58,0.0010558544486089225,Soil
Faxonius rusticus,1,l_SOL59,0.0014700859892225362,Soil
Faxonius rusticus,1,l_SOL6,0.0036937527639162664,Soil
Faxonius rusticus,1,l_SOL60,0.0006452127146156925,Soil
Faxonius rusticus,1,l_SOL7,0.0066663254173588635,Soil
Faxonius rusticus,1,l_SOL8,0.000456195483731301,Soil
Faxonius rusticus,1,l_SOL9,0.008033495996339627,Soil
Faxonius rusticus,1,l_TOP1,0.0006596610988559105,Topography
Faxonius rusticus,1,l_TOP10,0.0005116262089374164,Topography
