variable,mean,std,cv,rank
l_TOP30,0.05173163333185983,0.005539084806982012,0.1070734568044398,1
l_TOP109,0.051401124634256,0.004764901587826182,0.09270033723446275,2
l_CLI26,0.050072308153585855,0.0036897017846979035,0.07368747159369107,3
l_CLI21,0.04590859319679203,0.006811515555170401,0.14837125428723377,4
l_CLI33,0.044667797842085674,0.003373842866364625,0.07553188268408019,5
l_CLI57,0.038414830042571776,0.0022186659817612143,0.057755454841332425,6
u_CLI23,0.030315229323871505,0.0032924687037372887,0.10860774525445065,7
u_TOP31,0.028640654467795325,0.003298439846328365,0.11516635732040481,8
u_TOP114,0.027640639244615843,0.003997013899822397,0.14460642043946145,9
u_CLI35,0.023231994554571277,0.003464194399857774,0.14911308590919659,10
