variable,mean,std,cv,rank
l_TOP30,0.0707388168022822,0.009408496693995669,0.13300330878155328,1
l_TOP109,0.05853412317584533,0.011221195993586553,0.19170349506861814,2
l_CLI14,0.054398578742202185,0.006683293888272336,0.12285787685639414,3
l_CLI58,0.04686727245694429,0.00674436769503662,0.14390356727570375,4
l_CLI26,0.03908284637056474,0.003239775134915146,0.08289506614224454,5
l_SOL21,0.035042231798443665,0.0058015521095433915,0.1655588645983746,6
l_CLI73,0.02980952015753004,0.004472081305992713,0.15002191522573174,7
l_CLI33,0.027265232240869706,0.004094361425151558,0.15016785439348806,8
l_SOL18,0.026607760724538347,0.0023663184221972135,0.08893339227960416,9
l_SOL29,0.024092933132033343,0.002689688184187488,0.11163805458835346,10
