species,fold,variable,importance,type
Pacifastacus leniusculus,1,l_CLI1,0.005618061778946917,Climate
Pacifastacus leniusculus,1,l_CLI12,0.00039785791779091396,Climate
Pacifastacus leniusculus,1,l_CLI14,0.030234248719146057,Climate
Pacifastacus leniusculus,1,l_CLI16,0.00013503830124283537,Climate
Pacifastacus leniusculus,1,l_CLI17,0.01404816505010232,Climate
Pacifastacus leniusculus,1,l_CLI20,0.00025423076905655556,Climate
Pacifastacus leniusculus,1,l_CLI21,0.013366688536285923,Climate
Pacifastacus leniusculus,1,l_CLI24,0.0007261667001220934,Climate
Pacifastacus leniusculus,1,l_CLI26,0.014223802224235152,Climate
Pacifastacus leniusculus,1,l_CLI28,0.0002487845817554805,Climate
Pacifastacus leniusculus,1,l_CLI30,0.02865690174585911,Climate
Pacifastacus leniusculus,1,l_CLI32,0.0003287583508650437,Climate
Pacifastacus leniusculus,1,l_CLI33,0.04488044717633011,Climate
Pacifastacus leniusculus,1,l_CLI36,0.00018574588215183857,Climate
Pacifastacus leniusculus,1,l_CLI37,0.0047106265859870895,Climate
Pacifastacus leniusculus,1,l_CLI4,0.00047726938016769783,Climate
Pacifastacus leniusculus,1,l_CLI40,0.0001019492437824707,Climate
Pacifastacus leniusculus,1,l_CLI44,0.0008920054879936251,Climate
Pacifastacus leniusculus,1,l_CLI45,0.01222594456598499,Climate
Pacifastacus leniusculus,1,l_CLI48,0.0006869297710298023,Climate
Pacifastacus leniusculus,1,l_CLI49,0.040917413222495425,Climate
Pacifastacus leniusculus,1,l_CLI52,0.00569385477699337,Climate
Pacifastacus leniusculus,1,l_CLI53,0.05771321574464105,Climate
Pacifastacus leniusculus,1,l_CLI56,0.00034234010814279144,Climate
Pacifastacus leniusculus,1,l_CLI58,0.09484012097444534,Climate
Pacifastacus leniusculus,1,l_CLI6,0.017726162196551452,Climate
Pacifastacus leniusculus,1,l_CLI60,0.002219902916448964,Climate
Pacifastacus leniusculus,1,l_CLI69,0.06723432632209785,Climate
Pacifastacus leniusculus,1,l_CLI72,0.00020355912967853705,Climate
Pacifastacus leniusculus,1,l_CLI73,0.03803369819479181,Climate
Pacifastacus leniusculus,1,l_CLI76,0.002723674041101021,Climate
Pacifastacus leniusculus,1,l_CLI8,0.0002976379258479781,Climate
Pacifastacus leniusculus,1,l_CLI9,0.006096431273290105,Climate
Pacifastacus leniusculus,1,l_LAC1,0.0020836452157720307,Land Cover
Pacifastacus leniusculus,1,l_LAC10,0.00018492016102311502,Land Cover
Pacifastacus leniusculus,1,l_LAC11,1.0090820965514044e-05,Land Cover
Pacifastacus leniusculus,1,l_LAC12,0.0017260910433164623,Land Cover
Pacifastacus leniusculus,1,l_LAC13,0.0033955737203065287,Land Cover
Pacifastacus leniusculus,1,l_LAC15,0.00016225061750169907,Land Cover
Pacifastacus leniusculus,1,l_LAC16,0.00035359454067619754,Land Cover
Pacifastacus leniusculus,1,l_LAC18,4.466574977379491e-06,Land Cover
Pacifastacus leniusculus,1,l_LAC19,0.00027869878188138713,Land Cover
Pacifastacus leniusculus,1,l_LAC2,0.00017494590591728967,Land Cover
Pacifastacus leniusculus,1,l_LAC20,4.6568436398980854e-05,Land Cover
Pacifastacus leniusculus,1,l_LAC21,0.0003845501960538953,Land Cover
Pacifastacus leniusculus,1,l_LAC3,0.0010469336179465976,Land Cover
Pacifastacus leniusculus,1,l_LAC4,0.00026351161265462036,Land Cover
Pacifastacus leniusculus,1,l_LAC6,0.002869815429052767,Land Cover
Pacifastacus leniusculus,1,l_LAC7,0.0002805516872418005,Land Cover
Pacifastacus leniusculus,1,l_LAC8,0.0,Land Cover
Pacifastacus leniusculus,1,l_LAC9,0.00015640337240103156,Land Cover
Pacifastacus leniusculus,1,l_SOL1,0.0008284931378185384,Soil
Pacifastacus leniusculus,1,l_SOL10,0.008071065323241616,Soil
Pacifastacus leniusculus,1,l_SOL11,0.009589527381366071,Soil
Pacifastacus leniusculus,1,l_SOL12,0.0002517250668727519,Soil
Pacifastacus leniusculus,1,l_SOL13,0.004859752565224598,Soil
Pacifastacus leniusculus,1,l_SOL14,0.003511058131410316,Soil
Pacifastacus leniusculus,1,l_SOL15,0.004216927456096361,Soil
Pacifastacus leniusculus,1,l_SOL16,0.00026254906355871916,Soil
Pacifastacus leniusculus,1,l_SOL17,0.0007750723868716039,Soil
Pacifastacus leniusculus,1,l_SOL18,0.0015716760059180683,Soil
Pacifastacus leniusculus,1,l_SOL19,0.001563135686504868,Soil
Pacifastacus leniusculus,1,l_SOL2,0.0010962196720008218,Soil
Pacifastacus leniusculus,1,l_SOL20,0.00030035745015153303,Soil
Pacifastacus leniusculus,1,l_SOL21,0.002998999010794178,Soil
Pacifastacus leniusculus,1,l_SOL22,0.0030319012531807173,Soil
Pacifastacus leniusculus,1,l_SOL23,0.0019610366443361775,Soil
Pacifastacus leniusculus,1,l_SOL24,0.004406710369390803,Soil
Pacifastacus leniusculus,1,l_SOL25,0.004873708795187478,Soil
Pacifastacus leniusculus,1,l_SOL26,0.002342944987622146,Soil
Pacifastacus leniusculus,1,l_SOL27,0.004745555054894015,Soil
Pacifastacus leniusculus,1,l_SOL28,0.00012306725302934062,Soil
Pacifastacus leniusculus,1,l_SOL29,0.024814456718249053,Soil
Pacifastacus leniusculus,1,l_SOL3,0.0014566580738030093,Soil
Pacifastacus leniusculus,1,l_SOL30,0.016267203446527188,Soil
Pacifastacus leniusculus,1,l_SOL31,0.026554280014721866,Soil
Pacifastacus leniusculus,1,l_SOL32,0.0008430790949279123,Soil
Pacifastacus leniusculus,1,l_SOL33,0.0001778380294345971,Soil
Pacifastacus leniusculus,1,l_SOL34,0.0019221170441982207,Soil
Pacifastacus leniusculus,1,l_SOL35,0.003335569167332523,Soil
Pacifastacus leniusculus,1,l_SOL36,0.0011322496236691897,Soil
Pacifastacus leniusculus,1,l_SOL37,0.0016199890283467965,Soil
Pacifastacus leniusculus,1,l_SOL38,0.0020841004224872207,Soil
Pacifastacus leniusculus,1,l_SOL39,0.003042835059255706,Soil
Pacifastacus leniusculus,1,l_SOL4,0.00034708993302587035,Soil
Pacifastacus leniusculus,1,l_SOL40,0.0008215589706681099,Soil
Pacifastacus leniusculus,1,l_SOL42,0.0036749099452035887,Soil
Pacifastacus leniusculus,1,l_SOL44,0.0009453343695895401,Soil
Pacifastacus leniusculus,1,l_SOL45,0.0012731216587400446,Soil
Pacifastacus leniusculus,1,l_SOL46,0.0005708436584386512,Soil
Pacifastacus leniusculus,1,l_SOL47,0.0009934755458105788,Soil
Pacifastacus leniusculus,1,l_SOL48,0.00017062979422452832,Soil
Pacifastacus leniusculus,1,l_SOL5,0.0003734178655009199,Soil
Pacifastacus leniusculus,1,l_SOL50,3.372396979371267e-05,Soil
Pacifastacus leniusculus,1,l_SOL53,0.00021303910976779836,Soil
Pacifastacus leniusculus,1,l_SOL54,3.256184315829674e-05,Soil
Pacifastacus leniusculus,1,l_SOL55,0.00019879298977198826,Soil
Pacifastacus leniusculus,1,l_SOL56,0.00012689134353835257,Soil
Pacifastacus leniusculus,1,l_SOL57,0.0007804631669503596,Soil
Pacifastacus leniusculus,1,l_SOL58,0.0006378725067485066,Soil
Pacifastacus leniusculus,1,l_SOL59,0.0004944221285394976,Soil
Pacifastacus leniusculus,1,l_SOL6,0.001182105212934696,Soil
Pacifastacus leniusculus,1,l_SOL60,0.00028291360836813433,Soil
Pacifastacus leniusculus,1,l_SOL7,0.0006522462603902436,Soil
Pacifastacus leniusculus,1,l_SOL8,0.00018296255756694148,Soil
Pacifastacus leniusculus,1,l_SOL9,0.0076136780060162244,Soil
Pacifastacus leniusculus,1,l_TOP1,0.0004954120012901906,Topography
Pacifastacus leniusculus,1,l_TOP10,0.0002922179056574381,Topography
Pacifastacus leniusculus,1,l_TOP101,0.009196637067147658,Topography
Pacifastacus leniusculus,1,l_TOP102,0.01480850692701272,Topography
Pacifastacus leniusculus,1,l_TOP103,0.0005538006050649791,Topography
Pacifastacus leniusculus,1,l_TOP104,0.00028973532734614705,Topography
Pacifastacus leniusculus,1,l_TOP105,0.0005000589439276835,Topography
Pacifastacus leniusculus,1,l_TOP106,9.004236017679962e-05,Topography
Pacifastacus leniusculus,1,l_TOP107,0.0009558682994218576,Topography
Pacifastacus leniusculus,1,l_TOP108,0.0009674421372341319,Topography
Pacifastacus leniusculus,1,l_TOP111,0.00032907774784785764,Topography
Pacifastacus leniusculus,1,l_TOP112,0.0004824562745777288,Topography
Pacifastacus leniusculus,1,l_TOP113,0.0015757103598629005,Topography
Pacifastacus leniusculus,1,l_TOP116,0.0038356207743927505,Topography
Pacifastacus leniusculus,1,l_TOP118,0.00018333299887564645,Topography
Pacifastacus leniusculus,1,l_TOP119,0.0003967176600864594,Topography
Pacifastacus leniusculus,1,l_TOP12,0.00018416221080407415,Topography
Pacifastacus leniusculus,1,l_TOP124,0.0011905964397864986,Topography
Pacifastacus leniusculus,1,l_TOP125,0.0005648781302633568,Topography
Pacifastacus leniusculus,1,l_TOP126,0.0010801738408985448,Topography
Pacifastacus leniusculus,1,l_TOP127,0.0004179183311039318,Topography
Pacifastacus leniusculus,1,l_TOP128,0.0018114850612834493,Topography
Pacifastacus leniusculus,1,l_TOP129,0.0007542871281474068,Topography
Pacifastacus leniusculus,1,l_TOP13,0.0001471129471220442,Topography
Pacifastacus leniusculus,1,l_TOP130,0.0007904153021200113,Topography
Pacifastacus leniusculus,1,l_TOP131,0.000562802668526879,Topography
Pacifastacus leniusculus,1,l_TOP132,0.0009588104890314672,Topography
Pacifastacus leniusculus,1,l_TOP133,0.00012097771657024829,Topography
Pacifastacus leniusculus,1,l_TOP134,0.0005979082815328146,Topography
Pacifastacus leniusculus,1,l_TOP135,0.0006414385356423971,Topography
Pacifastacus leniusculus,1,l_TOP136,0.001583214716183024,Topography
Pacifastacus leniusculus,1,l_TOP137,6.14020784731946e-05,Topography
Pacifastacus leniusculus,1,l_TOP138,0.0005511720918301691,Topography
Pacifastacus leniusculus,1,l_TOP139,0.00041965331830547603,Topography
Pacifastacus leniusculus,1,l_TOP14,0.0004657439556283612,Topography
Pacifastacus leniusculus,1,l_TOP140,0.00040474051079194753,Topography
Pacifastacus leniusculus,1,l_TOP141,0.00020372970097435895,Topography
Pacifastacus leniusculus,1,l_TOP142,0.0005165272526101968,Topography
Pacifastacus leniusculus,1,l_TOP143,0.00035012858584837335,Topography
Pacifastacus leniusculus,1,l_TOP144,0.0006599206833282912,Topography
Pacifastacus leniusculus,1,l_TOP15,0.00032235042247096707,Topography
Pacifastacus leniusculus,1,l_TOP16,0.0004365265872205562,Topography
Pacifastacus leniusculus,1,l_TOP17,0.0,Topography
Pacifastacus leniusculus,1,l_TOP18,0.00021086255470906037,Topography
Pacifastacus leniusculus,1,l_TOP19,0.00017531106177588545,Topography
Pacifastacus leniusculus,1,l_TOP2,0.00046262374606596157,Topography
Pacifastacus leniusculus,1,l_TOP20,0.00022386296606906125,Topography
Pacifastacus leniusculus,1,l_TOP21,2.507510269012373e-20,Topography
Pacifastacus leniusculus,1,l_TOP23,0.001100959553492757,Topography
Pacifastacus leniusculus,1,l_TOP26,0.0002769736223612809,Topography
Pacifastacus leniusculus,1,l_TOP27,0.00019090337528170762,Topography
Pacifastacus leniusculus,1,l_TOP28,0.00019762381707218402,Topography
Pacifastacus leniusculus,1,l_TOP3,0.00031423711230090976,Topography
Pacifastacus leniusculus,1,l_TOP30,0.027012849706080616,Topography
Pacifastacus leniusculus,1,l_TOP32,0.00038461811924783294,Topography
Pacifastacus leniusculus,1,l_TOP35,0.00041558205744526714,Topography
Pacifastacus leniusculus,1,l_TOP38,0.00043484478563902875,Topography
Pacifastacus leniusculus,1,l_TOP39,0.0002108483047731724,Topography
Pacifastacus leniusculus,1,l_TOP40,0.00033454061468213904,Topography
Pacifastacus leniusculus,1,l_TOP41,0.0,Topography
Pacifastacus leniusculus,1,l_TOP42,0.0003341648368716916,Topography
Pacifastacus leniusculus,1,l_TOP43,0.00031895909964953397,Topography
Pacifastacus leniusculus,1,l_TOP44,0.00031170826787856704,Topography
Pacifastacus leniusculus,1,l_TOP45,0.0,Topography
Pacifastacus leniusculus,1,l_TOP47,0.0005612810616135697,Topography
Pacifastacus leniusculus,1,l_TOP48,0.001050001885077519,Topography
Pacifastacus leniusculus,1,l_TOP49,6.569345951351134e-05,Topography
Pacifastacus leniusculus,1,l_TOP51,0.000638107894524401,Topography
Pacifastacus leniusculus,1,l_TOP52,0.0005314807602500518,Topography
Pacifastacus leniusculus,1,l_TOP53,0.003175704195627125,Topography
Pacifastacus leniusculus,1,l_TOP59,0.0003460990366874962,Topography
Pacifastacus leniusculus,1,l_TOP6,0.0002194274230538828,Topography
Pacifastacus leniusculus,1,l_TOP60,0.0005101478640428201,Topography
Pacifastacus leniusculus,1,l_TOP61,0.00045912701717835936,Topography
Pacifastacus leniusculus,1,l_TOP64,0.0002196706051613453,Topography
Pacifastacus leniusculus,1,l_TOP65,0.0001524701852800762,Topography
Pacifastacus leniusculus,1,l_TOP66,0.0003472342167700344,Topography
Pacifastacus leniusculus,1,l_TOP67,0.0003962866110502545,Topography
Pacifastacus leniusculus,1,l_TOP68,0.00024826400759057595,Topography
Pacifastacus leniusculus,1,l_TOP69,0.00014358320687253014,Topography
Pacifastacus leniusculus,1,l_TOP70,0.0003510368679639814,Topography
Pacifastacus leniusculus,1,l_TOP71,0.0003725390459393363,Topography
Pacifastacus leniusculus,1,l_TOP72,0.00019789155304193485,Topography
Pacifastacus leniusculus,1,l_TOP73,9.494367372055352e-05,Topography
Pacifastacus leniusculus,1,l_TOP74,0.00029561347208838576,Topography
Pacifastacus leniusculus,1,l_TOP75,0.00031323269956941237,Topography
Pacifastacus leniusculus,1,l_TOP76,0.00033031109221096864,Topography
Pacifastacus leniusculus,1,l_TOP78,0.0003200898335967298,Topography
Pacifastacus leniusculus,1,l_TOP79,0.00022076527939212697,Topography
Pacifastacus leniusculus,1,l_TOP8,0.00044733883615998915,Topography
Pacifastacus leniusculus,1,l_TOP83,0.00039566395993741296,Topography
Pacifastacus leniusculus,1,l_TOP85,4.0407040107058565e-05,Topography
Pacifastacus leniusculus,1,l_TOP87,0.0005863690834635479,Topography
Pacifastacus leniusculus,1,l_TOP89,0.000238773375029112,Topography
Pacifastacus leniusculus,1,l_TOP9,2.124790907737735e-05,Topography
Pacifastacus leniusculus,1,l_TOP90,0.0003996920772502328,Topography
Pacifastacus leniusculus,1,l_TOP91,0.0006223596622900021,Topography
Pacifastacus leniusculus,1,l_TOP92,0.0007136007133100518,Topography
Pacifastacus leniusculus,1,l_TOP93,0.0020841754608930127,Topography
Pacifastacus leniusculus,1,l_TOP97,0.0031080830649678915,Topography
Pacifastacus leniusculus,1,l_TOP99,0.00023321637607426693,Topography
Pacifastacus leniusculus,1,u_CLI11,0.0029213365738159297,Climate
Pacifastacus leniusculus,1,u_CLI15,0.0044719366218450105,Climate
Pacifastacus leniusculus,1,u_CLI19,0.003586690598163209,Climate
Pacifastacus leniusculus,1,u_CLI23,0.0033956088944091783,Climate
Pacifastacus leniusculus,1,u_CLI27,0.002486880831233774,Climate
Pacifastacus leniusculus,1,u_CLI3,0.0018540467289890972,Climate
Pacifastacus leniusculus,1,u_CLI31,0.010206340816594939,Climate
Pacifastacus leniusculus,1,u_CLI35,0.011497253607588721,Climate
Pacifastacus leniusculus,1,u_CLI39,0.0016743274379216447,Climate
Pacifastacus leniusculus,1,u_CLI47,0.00137467342896638,Climate
Pacifastacus leniusculus,1,u_CLI51,0.005731398368820296,Climate
Pacifastacus leniusculus,1,u_CLI55,0.011250724295938501,Climate
Pacifastacus leniusculus,1,u_CLI59,0.017469632375016843,Climate
Pacifastacus leniusculus,1,u_CLI7,0.002913606325973136,Climate
Pacifastacus leniusculus,1,u_CLI71,0.015179774069894934,Climate
Pacifastacus leniusculus,1,u_CLI75,0.0035701261881954643,Climate
Pacifastacus leniusculus,1,u_LAC1,0.004149002910759523,Land Cover
Pacifastacus leniusculus,1,u_LAC10,0.0009319586497493089,Land Cover
Pacifastacus leniusculus,1,u_LAC11,0.00017986368703019038,Land Cover
Pacifastacus leniusculus,1,u_LAC12,0.00389751191421685,Land Cover
Pacifastacus leniusculus,1,u_LAC13,0.010599974964263239,Land Cover
Pacifastacus leniusculus,1,u_LAC14,7.976593108656675e-05,Land Cover
Pacifastacus leniusculus,1,u_LAC15,0.00012709879753168297,Land Cover
Pacifastacus leniusculus,1,u_LAC16,0.00020607970181160925,Land Cover
Pacifastacus leniusculus,1,u_LAC18,6.741326918685722e-06,Land Cover
Pacifastacus leniusculus,1,u_LAC19,0.0002589445894004365,Land Cover
Pacifastacus leniusculus,1,u_LAC2,0.0008307760384773603,Land Cover
Pacifastacus leniusculus,1,u_LAC20,5.640694120969235e-06,Land Cover
Pacifastacus leniusculus,1,u_LAC21,0.00014572398829658707,Land Cover
Pacifastacus leniusculus,1,u_LAC22,3.6999976990467696e-05,Land Cover
Pacifastacus leniusculus,1,u_LAC3,0.011490481603296231,Land Cover
Pacifastacus leniusculus,1,u_LAC4,0.001865527968834064,Land Cover
Pacifastacus leniusculus,1,u_LAC5,0.0,Land Cover
Pacifastacus leniusculus,1,u_LAC6,0.01214196097944555,Land Cover
Pacifastacus leniusculus,1,u_LAC7,0.0020979583127824076,Land Cover
Pacifastacus leniusculus,1,u_LAC8,0.0003933953004246501,Land Cover
Pacifastacus leniusculus,1,u_LAC9,0.00048380396038526506,Land Cover
Pacifastacus leniusculus,1,u_SOL11,0.006323553382265054,Soil
Pacifastacus leniusculus,1,u_SOL15,0.0011906902460318838,Soil
Pacifastacus leniusculus,1,u_SOL19,0.0003486379395366925,Soil
Pacifastacus leniusculus,1,u_SOL23,0.002521260193833326,Soil
Pacifastacus leniusculus,1,u_SOL27,0.0031368760103179,Soil
Pacifastacus leniusculus,1,u_SOL3,0.0008991966066939509,Soil
Pacifastacus leniusculus,1,u_SOL31,0.008188872885843334,Soil
Pacifastacus leniusculus,1,u_SOL35,0.002451785194652501,Soil
Pacifastacus leniusculus,1,u_SOL39,0.001272259079672926,Soil
Pacifastacus leniusculus,1,u_SOL43,0.0018643571339440402,Soil
Pacifastacus leniusculus,1,u_SOL47,0.001108492841055423,Soil
Pacifastacus leniusculus,1,u_SOL51,4.4416030793791775e-06,Soil
Pacifastacus leniusculus,1,u_SOL55,0.000278397541754747,Soil
Pacifastacus leniusculus,1,u_SOL59,0.0015790564089279413,Soil
Pacifastacus leniusculus,1,u_SOL7,0.0008015694583555376,Soil
Pacifastacus leniusculus,1,u_TOP103,0.0008208617537895199,Topography
Pacifastacus leniusculus,1,u_TOP11,0.0010157857297766568,Topography
Pacifastacus leniusculus,1,u_TOP110,0.0005926214362646845,Topography
Pacifastacus leniusculus,1,u_TOP111,0.0006653306760839593,Topography
Pacifastacus leniusculus,1,u_TOP112,0.00028105269887554403,Topography
Pacifastacus leniusculus,1,u_TOP113,0.00010090974111478955,Topography
Pacifastacus leniusculus,1,u_TOP114,0.004370528245022576,Topography
Pacifastacus leniusculus,1,u_TOP117,0.0009280454462363089,Topography
Pacifastacus leniusculus,1,u_TOP119,0.0002981560554377269,Topography
Pacifastacus leniusculus,1,u_TOP122,0.0023774588410802,Topography
Pacifastacus leniusculus,1,u_TOP130,6.77517290609116e-05,Topography
Pacifastacus leniusculus,1,u_TOP135,0.00018282254949318757,Topography
Pacifastacus leniusculus,1,u_TOP139,0.0008318431732185085,Topography
Pacifastacus leniusculus,1,u_TOP143,0.0006232581209206532,Topography
Pacifastacus leniusculus,1,u_TOP15,0.0012071821197824689,Topography
Pacifastacus leniusculus,1,u_TOP19,0.0004959461079326052,Topography
Pacifastacus leniusculus,1,u_TOP23,0.00029980914379927804,Topography
Pacifastacus leniusculus,1,u_TOP27,0.0005731966505700229,Topography
Pacifastacus leniusculus,1,u_TOP31,0.0016145436334856116,Topography
Pacifastacus leniusculus,1,u_TOP35,0.00044512504475293995,Topography
Pacifastacus leniusculus,1,u_TOP39,0.0004089321879628101,Topography
Pacifastacus leniusculus,1,u_TOP47,0.00042956321116049707,Topography
Pacifastacus leniusculus,1,u_TOP51,0.0008992254069483181,Topography
Pacifastacus leniusculus,1,u_TOP55,0.0010183552721942171,Topography
Pacifastacus leniusculus,1,u_TOP59,0.0005740601725601618,Topography
Pacifastacus leniusculus,1,u_TOP63,0.0013186717788252838,Topography
Pacifastacus leniusculus,1,u_TOP67,0.0020673999149566713,Topography
Pacifastacus leniusculus,1,u_TOP7,0.0011894113476803808,Topography
Pacifastacus leniusculus,1,u_TOP71,0.00033650323715490177,Topography
Pacifastacus leniusculus,1,u_TOP83,0.0005399597624236281,Topography
Pacifastacus leniusculus,1,u_TOP91,0.0005966045274440845,Topography
Pacifastacus leniusculus,1,u_TOP95,0.0006806716673058679,Topography
Pacifastacus leniusculus,1,u_TOP99,0.00045279495471745637,Topography
Pacifastacus leniusculus,2,l_CLI1,0.004656232454695814,Climate
Pacifastacus leniusculus,2,l_CLI12,0.00027894493542871457,Climate
Pacifastacus leniusculus,2,l_CLI14,0.035651950113684126,Climate
Pacifastacus leniusculus,2,l_CLI16,0.0003507296142812154,Climate
Pacifastacus leniusculus,2,l_CLI17,0.0186902694220377,Climate
Pacifastacus leniusculus,2,l_CLI20,0.0002474192690013437,Climate
Pacifastacus leniusculus,2,l_CLI21,0.012857569852165818,Climate
Pacifastacus leniusculus,2,l_CLI24,0.0005377460246247318,Climate
Pacifastacus leniusculus,2,l_CLI26,0.01196142509001538,Climate
Pacifastacus leniusculus,2,l_CLI28,0.00044458009477016776,Climate
Pacifastacus leniusculus,2,l_CLI30,0.024114725228600094,Climate
Pacifastacus leniusculus,2,l_CLI32,0.000400256506283517,Climate
Pacifastacus leniusculus,2,l_CLI33,0.04710084541145177,Climate
Pacifastacus leniusculus,2,l_CLI36,0.0003907739557668476,Climate
Pacifastacus leniusculus,2,l_CLI37,0.003949981758849713,Climate
Pacifastacus leniusculus,2,l_CLI4,0.0006512564304995695,Climate
Pacifastacus leniusculus,2,l_CLI40,0.00026375211203242833,Climate
Pacifastacus leniusculus,2,l_CLI44,0.00036423197886991955,Climate
Pacifastacus leniusculus,2,l_CLI45,0.014131642848519142,Climate
Pacifastacus leniusculus,2,l_CLI48,0.001968274652571721,Climate
Pacifastacus leniusculus,2,l_CLI49,0.037016424798821695,Climate
Pacifastacus leniusculus,2,l_CLI52,0.004639251782342519,Climate
Pacifastacus leniusculus,2,l_CLI53,0.05448609242208339,Climate
Pacifastacus leniusculus,2,l_CLI56,0.0010653576319952687,Climate
Pacifastacus leniusculus,2,l_CLI58,0.09929117573002993,Climate
Pacifastacus leniusculus,2,l_CLI6,0.016354444646184355,Climate
