variable,mean,std,cv,rank
l_CLI58,0.09747217669658026,0.0069931008418282,0.07174458475054808,1
l_CLI69,0.07403106645916299,0.010789466319230948,0.14574241376331695,2
l_CLI53,0.05191042666612494,0.00400903813756165,0.0772299207507346,3
l_CLI33,0.048657073694250166,0.0068982804414635425,0.14177343431729467,4
l_CLI49,0.039504961233437406,0.002595185355763644,0.0656926440309237,5
l_CLI73,0.034465553171946814,0.003697671667997038,0.10728600958613808,6
l_CLI14,0.03319458263578623,0.00783455435920438,0.23601906507353246,7
l_CLI30,0.028732307341736697,0.003031773080959229,0.10551791211544156,8
l_SOL31,0.02701129404268677,0.004203090937989463,0.15560494552194318,9
l_TOP30,0.02323503098804733,0.0031395891103504683,0.13512308685818192,10
