species,fold,variable,importance,type
Pontastacus leptodactylus,1,l_CLI1,0.021379836948321004,Climate
Pontastacus leptodactylus,1,l_CLI12,0.002820599881666433,Climate
Pontastacus leptodactylus,1,l_CLI14,0.03545835748143506,Climate
Pontastacus leptodactylus,1,l_CLI16,0.002387957163448958,Climate
Pontastacus leptodactylus,1,l_CLI19,0.0496104958500112,Climate
Pontastacus leptodactylus,1,l_CLI20,0.0018829679507973984,Climate
Pontastacus leptodactylus,1,l_CLI21,0.012895969675277149,Climate
Pontastacus leptodactylus,1,l_CLI24,0.0013216616357327393,Climate
Pontastacus leptodactylus,1,l_CLI26,0.028704446765148665,Climate
Pontastacus leptodactylus,1,l_CLI28,0.00218344742189893,Climate
Pontastacus leptodactylus,1,l_CLI30,0.012910897873097151,Climate
Pontastacus leptodactylus,1,l_CLI32,0.0021962442082734362,Climate
Pontastacus leptodactylus,1,l_CLI33,0.014692413621821322,Climate
Pontastacus leptodactylus,1,l_CLI36,0.0014573778325850727,Climate
Pontastacus leptodactylus,1,l_CLI38,0.04149914025856222,Climate
Pontastacus leptodactylus,1,l_CLI4,0.002561865199931309,Climate
Pontastacus leptodactylus,1,l_CLI40,0.0017587139106054433,Climate
Pontastacus leptodactylus,1,l_CLI44,0.0012096146533692224,Climate
Pontastacus leptodactylus,1,l_CLI45,0.018784118837701445,Climate
Pontastacus leptodactylus,1,l_CLI49,0.004879329275583138,Climate
Pontastacus leptodactylus,1,l_CLI5,0.03053261455924396,Climate
Pontastacus leptodactylus,1,l_CLI52,0.002695599611104168,Climate
Pontastacus leptodactylus,1,l_CLI53,0.02709527335357562,Climate
Pontastacus leptodactylus,1,l_CLI56,0.002384841557905768,Climate
Pontastacus leptodactylus,1,l_CLI57,0.028499037205695556,Climate
Pontastacus leptodactylus,1,l_CLI60,0.004501095578544493,Climate
Pontastacus leptodactylus,1,l_CLI69,0.00912595745544574,Climate
Pontastacus leptodactylus,1,l_CLI72,0.003038334365749992,Climate
Pontastacus leptodactylus,1,l_CLI73,0.013706569572147328,Climate
Pontastacus leptodactylus,1,l_CLI76,0.002549322736972537,Climate
Pontastacus leptodactylus,1,l_CLI8,0.0013974875081519229,Climate
Pontastacus leptodactylus,1,l_CLI9,0.011626393857059719,Climate
Pontastacus leptodactylus,1,l_LAC1,0.001714875643563859,Land Cover
Pontastacus leptodactylus,1,l_LAC10,0.0013685890802902893,Land Cover
Pontastacus leptodactylus,1,l_LAC11,0.00034726111464398465,Land Cover
Pontastacus leptodactylus,1,l_LAC12,0.00044569746181014335,Land Cover
Pontastacus leptodactylus,1,l_LAC13,0.0008803268183041119,Land Cover
Pontastacus leptodactylus,1,l_LAC15,0.00010958367393973058,Land Cover
Pontastacus leptodactylus,1,l_LAC16,0.00038686973546739215,Land Cover
Pontastacus leptodactylus,1,l_LAC18,0.0008789684288121715,Land Cover
Pontastacus leptodactylus,1,l_LAC19,0.0021836258032662034,Land Cover
Pontastacus leptodactylus,1,l_LAC2,0.00018083460645144537,Land Cover
Pontastacus leptodactylus,1,l_LAC20,8.65954102443749e-05,Land Cover
Pontastacus leptodactylus,1,l_LAC21,0.0020098824332529133,Land Cover
Pontastacus leptodactylus,1,l_LAC3,0.0013233751454100183,Land Cover
Pontastacus leptodactylus,1,l_LAC4,0.0005275208319747869,Land Cover
Pontastacus leptodactylus,1,l_LAC5,9.157844316735998e-06,Land Cover
Pontastacus leptodactylus,1,l_LAC6,0.0008967426091466617,Land Cover
Pontastacus leptodactylus,1,l_LAC7,0.002073674709950434,Land Cover
Pontastacus leptodactylus,1,l_LAC8,0.0,Land Cover
Pontastacus leptodactylus,1,l_LAC9,0.00043116556727408134,Land Cover
Pontastacus leptodactylus,1,l_SOL1,0.003851531791639447,Soil
Pontastacus leptodactylus,1,l_SOL10,0.006713024039297023,Soil
Pontastacus leptodactylus,1,l_SOL12,0.0029104838578927405,Soil
Pontastacus leptodactylus,1,l_SOL13,0.004026370343287583,Soil
Pontastacus leptodactylus,1,l_SOL14,0.00431218390617051,Soil
Pontastacus leptodactylus,1,l_SOL16,0.0033543904779562935,Soil
Pontastacus leptodactylus,1,l_SOL17,0.0051354308714825735,Soil
Pontastacus leptodactylus,1,l_SOL18,0.00621956518600056,Soil
Pontastacus leptodactylus,1,l_SOL19,0.009253997038940767,Soil
Pontastacus leptodactylus,1,l_SOL2,0.0020563344833991466,Soil
Pontastacus leptodactylus,1,l_SOL20,0.003261576806361388,Soil
Pontastacus leptodactylus,1,l_SOL21,0.0051774499559293224,Soil
Pontastacus leptodactylus,1,l_SOL22,0.0033228918660745932,Soil
Pontastacus leptodactylus,1,l_SOL23,0.0065483706556403965,Soil
Pontastacus leptodactylus,1,l_SOL24,0.002814279138409279,Soil
Pontastacus leptodactylus,1,l_SOL25,0.003976642398747212,Soil
Pontastacus leptodactylus,1,l_SOL26,0.004179212492479788,Soil
Pontastacus leptodactylus,1,l_SOL27,0.005449103865384234,Soil
Pontastacus leptodactylus,1,l_SOL28,0.0033886856529411497,Soil
Pontastacus leptodactylus,1,l_SOL29,0.01671439395860967,Soil
Pontastacus leptodactylus,1,l_SOL3,0.005519713319964766,Soil
Pontastacus leptodactylus,1,l_SOL30,0.014249542189687946,Soil
Pontastacus leptodactylus,1,l_SOL31,0.01764901836926967,Soil
Pontastacus leptodactylus,1,l_SOL32,0.0034740931675772166,Soil
Pontastacus leptodactylus,1,l_SOL33,0.0038510324611520323,Soil
Pontastacus leptodactylus,1,l_SOL34,0.00471866984766541,Soil
Pontastacus leptodactylus,1,l_SOL35,0.00799166341929903,Soil
Pontastacus leptodactylus,1,l_SOL36,0.0042246969004756125,Soil
Pontastacus leptodactylus,1,l_SOL37,0.0036525599642302665,Soil
Pontastacus leptodactylus,1,l_SOL38,0.004111697149389034,Soil
Pontastacus leptodactylus,1,l_SOL39,0.0035621795188786045,Soil
Pontastacus leptodactylus,1,l_SOL4,0.0030824902255802943,Soil
Pontastacus leptodactylus,1,l_SOL40,0.005285550664709849,Soil
Pontastacus leptodactylus,1,l_SOL42,0.007739477305884991,Soil
Pontastacus leptodactylus,1,l_SOL44,0.003657571847624421,Soil
Pontastacus leptodactylus,1,l_SOL45,0.0012634121391922855,Soil
Pontastacus leptodactylus,1,l_SOL46,0.003810336297770731,Soil
Pontastacus leptodactylus,1,l_SOL47,0.005868117780939407,Soil
Pontastacus leptodactylus,1,l_SOL48,0.0014356877382124354,Soil
Pontastacus leptodactylus,1,l_SOL49,2.0864776892526342e-19,Soil
Pontastacus leptodactylus,1,l_SOL5,0.006307918421612813,Soil
