variable,mean,std,cv,rank
l_CLI19,0.04992341671064453,0.003328747135768133,0.06667706970180963,1
l_CLI38,0.04451373851481008,0.0044946581220453915,0.10097238003386264,2
l_CLI14,0.04141601518417144,0.007159112136955624,0.172858545302343,3
l_TOP109,0.03145240418918315,0.0025964979221743682,0.08255324160775392,4
l_CLI26,0.029573260825235835,0.0038351259344833193,0.12968221384672873,5
l_CLI5,0.029047523318265052,0.0011141598244635688,0.038356448233333076,6
l_CLI57,0.02692054197580864,0.001508579690284507,0.05603823621530904,7
l_CLI53,0.025547346498128554,0.0034522426825586766,0.13513116451493573,8
l_TOP102,0.024997446973804485,0.0021479932138881645,0.08592850366435845,9
l_CLI1,0.02222073129894251,0.003160406022825955,0.14222781331127293,10
