variable,mean,std,cv,rank
l_CLI38,0.08812777105033318,0.003680297225232768,0.04176092486363701,1
l_CLI2,0.07389622740198948,0.002517157155051588,0.03406340544772952,2
l_TOP102,0.05544501042511263,0.006890843910791542,0.12428248922594633,3
l_CLI18,0.055056973884548124,0.006158873813766111,0.11186364558795002,4
l_CLI57,0.054533288168334595,0.0023164358963541475,0.042477466042460534,5
l_CLI70,0.04731738941088865,0.0025306472510285946,0.05348239373591147,6
l_SOL26,0.0383597217890238,0.0046472945116027235,0.12115037061954122,7
l_CLI14,0.03682885681409152,0.0023622403839833723,0.06414101843855027,8
l_CLI30,0.036290502740532075,0.003101150230040027,0.0854534932241768,9
l_CLI66,0.035834371929494,0.003436217465529606,0.0958916615670157,10
