species,variable,domain,std_shift,ci_low,ci_high,sig
Procambarus clarkii,l_CLI12,Climate,0.37171717171717167,0.2971887550200804,0.44760325024437925,True
Procambarus clarkii,l_CLI14,Climate,-0.9883182719858944,-1.0601316915888601,-0.9269474514696707,True
Procambarus clarkii,l_CLI16,Climate,0.21125265392781312,0.15033547802442984,0.2725616365455218,True
Procambarus clarkii,l_CLI18,Climate,-2.1739130434782634,-2.3636363636363678,-2.0833333333333344,True
Procambarus clarkii,l_CLI2,Climate,-2.7857142857142887,-3.1538461538461533,-2.6666666666666665,True
Procambarus clarkii,l_CLI20,Climate,0.8092783505154638,0.754242614707731,0.873972602739726,True
Procambarus clarkii,l_CLI21,Climate,-0.9062500000000003,-1.0689655172413792,-0.8181818181818181,True
Procambarus clarkii,l_CLI24,Climate,0.888307858760455,0.64552098637564,1.314230930454566,True
Procambarus clarkii,l_CLI26,Climate,-0.948717948717948,-1.026333570412518,-0.8500000000000005,True
Procambarus clarkii,l_CLI28,Climate,0.633177570093458,0.5831890889809231,0.6815923331455928,True
Procambarus clarkii,l_CLI30,Climate,-2.130434782608695,-2.333333333333334,-1.9411764705882357,True
Procambarus clarkii,l_CLI32,Climate,0.4170008019246191,0.0,0.5840067415730338,False
Procambarus clarkii,l_CLI33,Climate,0.3272727272727274,0.28571428571428564,0.362745098039216,True
Procambarus clarkii,l_CLI36,Climate,0.043588370669057665,0.0,1.4862564818508175,False
Procambarus clarkii,l_CLI38,Climate,-4.166666666666657,-4.249999999999991,-3.7692307692307687,True
Procambarus clarkii,l_CLI4,Climate,0.0,0.0,0.0,False
Procambarus clarkii,l_CLI40,Climate,0.45763939174511226,0.22881348919002795,0.5785623839012445,True
Procambarus clarkii,l_CLI41,Climate,-1.0,-1.2,-0.8709677419354838,True
Procambarus clarkii,l_CLI44,Climate,0.0,0.0,0.0,False
Procambarus clarkii,l_CLI46,Climate,-0.6479133265316034,-0.7747860086806486,-0.5682888628826163,True
Procambarus clarkii,l_CLI48,Climate,0.10233021466101534,0.060904955629703425,0.1369908446893182,True
Procambarus clarkii,l_CLI49,Climate,-0.7894397939471998,-0.8604880595067209,-0.7086637932578475,True
Procambarus clarkii,l_CLI56,Climate,-0.17551963048498848,-0.2238785616715246,-0.14029995884265345,True
Procambarus clarkii,l_CLI57,Climate,1.6651376146788994,1.5272605519480518,1.8207547169811316,True
Procambarus clarkii,l_CLI6,Climate,-0.7000000000000011,-0.9000000000000004,-0.6363636363636365,True
Procambarus clarkii,l_CLI60,Climate,0.5219810795770728,0.3611956426333031,0.8382022471910112,True
Procambarus clarkii,l_CLI64,Climate,0.22523980815347724,0.1734235633374173,0.2746222640822866,True
Procambarus clarkii,l_CLI66,Climate,-1.0668583752695904,-1.2183151952985096,-0.9416659693749475,True
Procambarus clarkii,l_CLI70,Climate,-0.8117168429617575,-0.8663292234479777,-0.737687100438256,True
Procambarus clarkii,l_CLI72,Climate,-0.2341698178068064,-0.27753530307095825,-0.19917842198320615,True
Procambarus clarkii,l_CLI75,Climate,-0.17081465946685886,-0.24137442137305157,-0.037880637561271996,True
Procambarus clarkii,l_CLI76,Climate,0.26318185957563067,0.20963097787422116,0.31233621782882637,True
Procambarus clarkii,l_CLI8,Climate,0.0,0.0,0.0,False
Procambarus clarkii,l_CLI9,Climate,0.024390243902439362,0.0,0.07317073170731636,False
Procambarus clarkii,l_TOP10,Topography,0.8333333333333334,0.42857142857142855,0.8333333333333334,True
Procambarus clarkii,l_TOP101,Topography,-0.25,-0.3333333333333333,-0.25,True
Procambarus clarkii,l_TOP102,Topography,-2.5,-5.0,-2.5,True
Procambarus clarkii,l_TOP103,Topography,-0.37333600000000045,-0.4359327443641054,-0.3150007875019691,True
