variable,importance,cumulative,rank
l_CLI25,0.8969768782600828,0.8969768782600828,1
l_TOP102,0.08760581130639172,0.9845826895664744,2
l_CLI61,0.008278770942601049,0.9928614605090755,3
u_CLI15,0.005221861732370287,0.9980833222414458,4
l_CLI60,0.0019166777585517426,0.9999999999999976,5
l_TOP14,2.429946681629451e-15,1.0,6
l_SOL18,1.5694252180561772e-17,1.0,7
l_TOP90,0.0,1.0,8
l_TOP9,0.0,1.0,9
l_TOP89,0.0,1.0,10
l_TOP85,0.0,1.0,11
l_TOP92,0.0,1.0,12
l_TOP83,0.0,1.0,13
l_TOP79,0.0,1.0,14
l_TOP78,0.0,1.0,15
l_TOP76,0.0,1.0,16
l_TOP75,0.0,1.0,17
l_TOP74,0.0,1.0,18
l_TOP73,0.0,1.0,19
l_TOP91,0.0,1.0,20
l_CLI12,0.0,1.0,21
l_TOP93,0.0,1.0,22
l_TOP97,0.0,1.0,23
l_TOP70,0.0,1.0,24
u_CLI11,0.0,1.0,25
u_CLI19,0.0,1.0,26
u_CLI23,0.0,1.0,27
u_CLI27,0.0,1.0,28
u_CLI3,0.0,1.0,29
u_CLI31,0.0,1.0,30
u_CLI35,0.0,1.0,31
u_CLI43,0.0,1.0,32
u_CLI47,0.0,1.0,33
u_CLI59,0.0,1.0,34
u_CLI63,0.0,1.0,35
u_CLI67,0.0,1.0,36
l_TOP99,0.0,1.0,37
l_TOP68,0.0,1.0,38
l_TOP7,0.0,1.0,39
l_TOP43,0.0,1.0,40
l_TOP20,0.0,1.0,41
l_TOP21,0.0,1.0,42
l_TOP23,0.0,1.0,43
l_TOP26,0.0,1.0,44
l_TOP27,0.0,1.0,45
l_TOP28,0.0,1.0,46
l_TOP29,0.0,1.0,47
l_TOP32,0.0,1.0,48
l_TOP38,0.0,1.0,49
l_TOP39,0.0,1.0,50
l_TOP4,0.0,1.0,51
l_TOP40,0.0,1.0,52
l_TOP41,0.0,1.0,53
l_TOP42,0.0,1.0,54
l_TOP44,0.0,1.0,55
l_TOP69,0.0,1.0,56
l_TOP45,0.0,1.0,57
l_TOP47,0.0,1.0,58
l_TOP48,0.0,1.0,59
l_TOP49,0.0,1.0,60
l_TOP51,0.0,1.0,61
l_TOP52,0.0,1.0,62
l_TOP53,0.0,1.0,63
l_TOP59,0.0,1.0,64
l_TOP6,0.0,1.0,65
l_TOP60,0.0,1.0,66
l_TOP65,0.0,1.0,67
l_TOP66,0.0,1.0,68
l_TOP67,0.0,1.0,69
u_CLI71,0.0,1.0,70
u_CLI7,0.0,1.0,71
u_LAC1,0.0,1.0,72
u_CLI75,0.0,1.0,73
u_TOP19,0.0,1.0,74
u_TOP103,0.0,1.0,75
u_TOP11,0.0,1.0,76
u_TOP110,0.0,1.0,77
u_TOP111,0.0,1.0,78
u_TOP112,0.0,1.0,79
u_TOP113,0.0,1.0,80
u_TOP114,0.0,1.0,81
u_TOP117,0.0,1.0,82
u_TOP122,0.0,1.0,83
u_TOP126,0.0,1.0,84
u_TOP135,0.0,1.0,85
u_TOP139,0.0,1.0,86
u_TOP143,0.0,1.0,87
u_TOP15,0.0,1.0,88
u_TOP23,0.0,1.0,89
l_TOP19,0.0,1.0,90
u_TOP27,0.0,1.0,91
u_TOP31,0.0,1.0,92
u_TOP35,0.0,1.0,93
u_TOP39,0.0,1.0,94
u_TOP47,0.0,1.0,95
u_TOP51,0.0,1.0,96
u_TOP55,0.0,1.0,97
u_TOP59,0.0,1.0,98
u_TOP63,0.0,1.0,99
u_TOP67,0.0,1.0,100
u_TOP7,0.0,1.0,101
u_TOP71,0.0,1.0,102
u_TOP79,0.0,1.0,103
u_TOP91,0.0,1.0,104
u_SOL7,0.0,1.0,105
u_SOL59,0.0,1.0,106
u_SOL55,0.0,1.0,107
u_SOL51,0.0,1.0,108
u_LAC10,0.0,1.0,109
u_LAC11,0.0,1.0,110
u_LAC12,0.0,1.0,111
u_LAC13,0.0,1.0,112
u_LAC15,0.0,1.0,113
u_LAC16,0.0,1.0,114
u_LAC18,0.0,1.0,115
u_LAC19,0.0,1.0,116
u_LAC2,0.0,1.0,117
u_LAC20,0.0,1.0,118
u_LAC21,0.0,1.0,119
u_LAC22,0.0,1.0,120
u_LAC3,0.0,1.0,121
u_LAC4,0.0,1.0,122
u_LAC6,0.0,1.0,123
u_LAC7,0.0,1.0,124
u_LAC8,0.0,1.0,125
u_LAC9,0.0,1.0,126
u_SOL11,0.0,1.0,127
u_SOL15,0.0,1.0,128
u_SOL19,0.0,1.0,129
u_SOL23,0.0,1.0,130
u_SOL27,0.0,1.0,131
u_SOL3,0.0,1.0,132
u_SOL31,0.0,1.0,133
u_SOL35,0.0,1.0,134
u_SOL39,0.0,1.0,135
u_SOL43,0.0,1.0,136
u_SOL47,0.0,1.0,137
l_TOP2,0.0,1.0,138
l_TOP16,0.0,1.0,139
l_TOP18,0.0,1.0,140
l_LAC12,0.0,1.0,141
l_LAC15,0.0,1.0,142
l_LAC16,0.0,1.0,143
l_LAC18,0.0,1.0,144
l_LAC19,0.0,1.0,145
l_LAC2,0.0,1.0,146
l_LAC20,0.0,1.0,147
l_LAC21,0.0,1.0,148
l_LAC3,0.0,1.0,149
l_LAC4,0.0,1.0,150
l_LAC6,0.0,1.0,151
l_LAC7,0.0,1.0,152
l_LAC8,0.0,1.0,153
l_LAC9,0.0,1.0,154
l_SOL1,0.0,1.0,155
l_SOL10,0.0,1.0,156
l_SOL12,0.0,1.0,157
l_SOL13,0.0,1.0,158
l_SOL16,0.0,1.0,159
l_SOL2,0.0,1.0,160
l_SOL20,0.0,1.0,161
l_SOL21,0.0,1.0,162
l_SOL24,0.0,1.0,163
l_SOL25,0.0,1.0,164
l_SOL26,0.0,1.0,165
l_SOL27,0.0,1.0,166
l_SOL28,0.0,1.0,167
l_SOL29,0.0,1.0,168
l_SOL3,0.0,1.0,169
l_SOL30,0.0,1.0,170
l_LAC13,0.0,1.0,171
l_LAC11,0.0,1.0,172
l_SOL32,0.0,1.0,173
l_LAC10,0.0,1.0,174
l_CLI16,0.0,1.0,175
l_CLI19,0.0,1.0,176
l_CLI2,0.0,1.0,177
l_CLI20,0.0,1.0,178
l_CLI22,0.0,1.0,179
l_CLI24,0.0,1.0,180
l_CLI28,0.0,1.0,181
l_CLI30,0.0,1.0,182
l_CLI32,0.0,1.0,183
l_CLI33,0.0,1.0,184
l_CLI36,0.0,1.0,185
l_CLI4,0.0,1.0,186
l_CLI40,0.0,1.0,187
l_CLI42,0.0,1.0,188
l_CLI44,0.0,1.0,189
l_CLI45,0.0,1.0,190
l_CLI49,0.0,1.0,191
l_CLI5,0.0,1.0,192
l_CLI52,0.0,1.0,193
l_CLI56,0.0,1.0,194
l_CLI57,0.0,1.0,195
l_CLI65,0.0,1.0,196
l_CLI69,0.0,1.0,197
l_CLI72,0.0,1.0,198
l_CLI73,0.0,1.0,199
l_CLI76,0.0,1.0,200
l_CLI8,0.0,1.0,201
l_CLI9,0.0,1.0,202
l_LAC1,0.0,1.0,203
l_SOL31,0.0,1.0,204
l_SOL33,0.0,1.0,205
l_TOP17,0.0,1.0,206
l_TOP104,0.0,1.0,207
l_TOP106,0.0,1.0,208
l_TOP107,0.0,1.0,209
l_TOP108,0.0,1.0,210
l_TOP111,0.0,1.0,211
l_TOP112,0.0,1.0,212
l_TOP113,0.0,1.0,213
l_TOP118,0.0,1.0,214
l_TOP119,0.0,1.0,215
l_TOP12,0.0,1.0,216
l_TOP124,0.0,1.0,217
l_TOP125,0.0,1.0,218
l_TOP126,0.0,1.0,219
l_TOP127,0.0,1.0,220
l_TOP13,0.0,1.0,221
l_TOP132,0.0,1.0,222
l_TOP133,0.0,1.0,223
l_TOP134,0.0,1.0,224
l_TOP135,0.0,1.0,225
l_TOP136,0.0,1.0,226
l_TOP137,0.0,1.0,227
l_TOP138,0.0,1.0,228
l_TOP139,0.0,1.0,229
l_TOP140,0.0,1.0,230
l_TOP141,0.0,1.0,231
l_TOP142,0.0,1.0,232
l_TOP143,0.0,1.0,233
l_TOP144,0.0,1.0,234
l_TOP15,0.0,1.0,235
l_CLI13,0.0,1.0,236
l_TOP105,0.0,1.0,237
l_TOP103,0.0,1.0,238
l_SOL35,0.0,1.0,239
l_TOP101,0.0,1.0,240
l_SOL36,0.0,1.0,241
l_SOL37,0.0,1.0,242
l_SOL38,0.0,1.0,243
l_SOL39,0.0,1.0,244
l_SOL4,0.0,1.0,245
l_SOL40,0.0,1.0,246
l_SOL42,0.0,1.0,247
l_SOL44,0.0,1.0,248
l_SOL45,0.0,1.0,249
l_SOL46,0.0,1.0,250
l_SOL47,0.0,1.0,251
l_SOL48,0.0,1.0,252
l_SOL50,0.0,1.0,253
l_SOL51,0.0,1.0,254
l_SOL52,0.0,1.0,255
l_SOL53,0.0,1.0,256
l_SOL54,0.0,1.0,257
l_SOL55,0.0,1.0,258
l_SOL56,0.0,1.0,259
l_SOL57,0.0,1.0,260
l_SOL58,0.0,1.0,261
l_SOL59,0.0,1.0,262
l_SOL6,0.0,1.0,263
l_SOL60,0.0,1.0,264
l_SOL7,0.0,1.0,265
l_SOL8,0.0,1.0,266
l_SOL9,0.0,1.0,267
l_TOP1,0.0,1.0,268
l_TOP10,0.0,1.0,269
u_TOP99,0.0,1.0,270
