variable,gini_importance
l_CLI13,0.08166871515251557
l_CLI25,0.07887977385835997
l_CLI69,0.06808412478208208
l_TOP102,0.05984778685543051
l_CLI45,0.05608513076097659
l_CLI61,0.045943072434126916
l_CLI65,0.04075442625092443
l_CLI19,0.03994823274857488
l_CLI49,0.03808668960536782
l_CLI30,0.03795523260961934
l_CLI5,0.03614845709526784
l_CLI33,0.02903041861440974
l_CLI9,0.026735429673914055
u_CLI27,0.026366799279164257
l_TOP101,0.024430038734635666
u_CLI15,0.020326555770569455
l_CLI22,0.01751424494619162
l_CLI42,0.01579587526359019
l_CLI73,0.012675500343671363
u_CLI71,0.01179041563113559
u_TOP103,0.011736361023714602
l_TOP93,0.010589449702308195
u_CLI19,0.009670328627529073
l_TOP97,0.009638485491231068
l_SOL42,0.009300818417877417
u_CLI31,0.009259241120570798
l_SOL3,0.009254398147129602
u_CLI7,0.00865628942876863
l_SOL1,0.007803141277087548
u_CLI67,0.007563121070583616
l_CLI57,0.007458776150216296
l_TOP29,0.006805633520866256
u_CLI11,0.006559113099298506
u_SOL3,0.0059371064799522595
u_CLI47,0.005849419130607786
l_SOL26,0.0058272603212702456
u_CLI63,0.004983883249366335
u_CLI35,0.004687130581987434
u_CLI23,0.0044030110954857305
l_SOL47,0.003794268265978361
u_SOL43,0.0037870347516841263
u_SOL27,0.0036149357152054037
l_SOL27,0.003249103200429115
u_TOP114,0.002939511981670883
l_SOL45,0.0028639195429597834
u_LAC4,0.002829660550091888
u_TOP31,0.002583410093322669
l_TOP124,0.0025000720588028392
u_CLI75,0.002450618516347065
u_SOL47,0.0024234027587066633
u_CLI59,0.0021400769546927345
l_SOL2,0.0019599401596416535
l_SOL46,0.0019447545574917304
u_LAC3,0.0018974168278964054
l_LAC1,0.0015743640532924093
l_TOP53,0.0015504096491722689
l_SOL31,0.0012582506968027278
u_SOL31,0.0012369421847046296
l_CLI2,0.0011526566670861317
u_CLI43,0.0011383258469086866
l_LAC6,0.001091443894110376
l_SOL29,0.0010317619405869594
l_SOL30,0.0009833348257137799
l_TOP67,0.0009501010788718478
l_TOP113,0.0009169539451400391
u_TOP23,0.0009007673352799939
l_SOL25,0.000866881903801795
l_TOP105,0.0007520230831782081
l_TOP75,0.0006816649744952016
u_LAC1,0.0006772039263139284
u_CLI3,0.0006769732834498669
l_TOP104,0.0006652662610807028
l_SOL35,0.000664396059607172
l_SOL7,0.0006180057751484567
u_TOP15,0.0006108231821019312
u_TOP99,0.0005702023677322338
l_TOP106,0.0005452341914964501
u_LAC16,0.0005405508357694579
l_TOP103,0.0005209767202147937
u_TOP11,0.0004728621986176782
u_TOP27,0.00046529934416200236
u_SOL35,0.00045085755823692124
l_SOL9,0.0004451345729812095
u_TOP55,0.00042658843414451845
u_TOP47,0.00042050008629938444
l_LAC4,0.000399977042487299
l_SOL13,0.0003951163503755076
l_TOP74,0.0003787518474549925
l_TOP48,0.000378512047759659
u_TOP7,0.00037199645705532515
l_SOL39,0.0003647490569620635
u_SOL15,0.0003419583018344402
l_TOP83,0.00033816032687695996
l_SOL21,0.00033710848838307527
l_TOP91,0.00032229495096178733
l_SOL6,0.00032122852654121266
l_TOP142,0.0002976735892032392
l_SOL18,0.0002757280552333325
l_SOL10,0.00027363902581538705
u_TOP143,0.0002723522607516126
l_TOP66,0.00027178166720283553
u_SOL11,0.00026396255311461473
l_TOP7,0.0002610302239208547
l_TOP126,0.00025827014147911445
l_TOP119,0.00025168063653923886
u_LAC6,0.00025156613657061863
l_TOP47,0.00025095479782882493
l_TOP65,0.00024563399232745484
l_TOP78,0.00024215023548047358
u_SOL19,0.00023920902229076577
u_TOP139,0.00023763916361687267
l_TOP108,0.0002294970920874939
l_TOP59,0.00022818149790963902
u_TOP122,0.0002236981397490386
u_LAC7,0.00022000325356130338
u_SOL39,0.00021695381095700162
l_LAC3,0.00020856923085412044
u_LAC13,0.00020365063040054198
u_TOP71,0.00020013770416003738
l_TOP68,0.0001958387391409253
u_SOL7,0.00018939305578892694
l_SOL37,0.00018260797580766888
l_TOP125,0.00017628060691914017
l_SOL36,0.00017249984017897262
l_CLI56,0.00017220504513668346
l_TOP52,0.00017136177079753585
l_TOP140,0.00017056739031829008
u_TOP79,0.0001657445718509471
l_CLI60,0.00015834773090591287
l_TOP23,0.00015755195177058216
l_TOP143,0.00015629329629881134
l_TOP70,0.00015585629146151904
u_TOP35,0.0001553531918834268
u_SOL23,0.00015457355493160238
u_TOP91,0.00015365646899177893
l_SOL58,0.00015236150523295768
l_LAC16,0.00015170216021301392
l_TOP90,0.00015123337223218916
u_LAC19,0.00014935809354701135
l_SOL57,0.0001442116389445627
l_SOL38,0.00014414210228399298
u_TOP59,0.0001437838751637514
u_TOP126,0.00014237869232802629
l_TOP118,0.0001329126870303656
l_SOL33,0.0001294308794926954
u_TOP51,0.0001273156274918912
u_LAC9,0.00012510147837739677
l_TOP60,0.00012291449705255212
u_TOP67,0.00012274679721804296
l_TOP15,0.00012262544477698733
l_TOP136,0.00012207340891243472
u_TOP117,0.00012045154089767046
l_TOP144,0.00011702171109536051
l_TOP134,0.00011699096400348713
l_TOP139,0.00011353490013697058
l_TOP132,0.00010537640017612646
u_SOL59,0.00010443191442211422
u_TOP112,0.00010351896126212825
l_TOP112,0.00010260165979010022
l_TOP111,0.00010110434441296837
l_SOL59,0.00010093971692446541
l_CLI76,9.732016016920077e-05
l_TOP13,9.699045820110314e-05
l_CLI24,9.574219484565748e-05
l_TOP85,9.361999399945608e-05
l_SOL40,9.300108340422068e-05
l_TOP69,8.977752064179634e-05
l_TOP20,8.932358767730543e-05
l_TOP1,8.879594900563138e-05
l_TOP19,8.74712477990418e-05
l_TOP127,8.688257489307066e-05
l_TOP138,8.5308776928645e-05
l_TOP32,8.356270216531175e-05
l_TOP107,8.299611218065794e-05
l_TOP16,8.254280008121658e-05
l_SOL24,8.238804636200095e-05
u_LAC20,8.089645547468601e-05
u_LAC15,7.903227075322043e-05
l_TOP92,7.742828558023846e-05
l_CLI44,7.655905845912725e-05
l_CLI20,7.55683078118107e-05
l_SOL28,7.506055832103944e-05
u_TOP135,7.490119207856003e-05
l_TOP73,7.437812467772397e-05
l_TOP12,7.318668738305373e-05
u_TOP63,7.183882532635481e-05
l_CLI28,7.010149881700441e-05
l_SOL20,7.006992215040314e-05
l_TOP79,6.948483047437204e-05
l_TOP42,6.897788029262494e-05
l_TOP4,6.760533443891137e-05
l_TOP43,6.66473897174455e-05
l_TOP44,6.552409427048173e-05
u_LAC10,6.252460851251415e-05
l_SOL12,6.122618196123732e-05
l_CLI52,5.9763777247957805e-05
l_TOP18,5.8475422389406375e-05
l_TOP10,5.76076381708924e-05
l_TOP26,5.7261899437380274e-05
l_TOP14,5.680838713321232e-05
l_CLI12,5.303102547167972e-05
l_CLI16,5.139260928165804e-05
l_CLI4,5.036889812840111e-05
l_TOP135,4.779480046665043e-05
l_SOL44,4.760502920030892e-05
l_TOP38,4.7247542161692064e-05
l_LAC13,4.6749734187909276e-05
u_LAC21,4.560382914394653e-05
l_TOP137,4.330955816311945e-05
l_SOL32,4.2840454969454604e-05
u_TOP19,4.174265810255399e-05
l_SOL56,4.1437343689070865e-05
l_SOL53,4.0763245311617525e-05
l_TOP99,4.072619392481273e-05
l_CLI72,4.0595225458041735e-05
u_LAC8,4.0512699396153786e-05
l_SOL60,3.8242968911205836e-05
l_LAC10,3.759790408240883e-05
l_CLI36,3.734389832624171e-05
l_CLI40,3.732174187806081e-05
l_TOP28,3.686375633085574e-05
u_TOP113,3.582224973722219e-05
l_TOP9,3.490193145131516e-05
u_LAC2,3.365461544079267e-05
l_SOL16,3.321638113201612e-05
l_TOP141,3.1636386145961526e-05
l_LAC18,3.157614559238971e-05
u_LAC12,3.113477790013892e-05
u_SOL55,3.0116013264044737e-05
l_SOL48,3.0094307700371385e-05
l_LAC19,2.8465780546848536e-05
l_CLI8,2.7691426690046797e-05
u_TOP110,2.6402519988032923e-05
l_TOP51,2.6241390550392006e-05
l_TOP76,2.255531579793883e-05
u_TOP111,2.2015475511298995e-05
l_TOP40,2.159266188668329e-05
l_SOL8,2.043772039670556e-05
l_TOP89,1.9567948471271602e-05
l_TOP133,1.9357724858919074e-05
l_LAC21,1.8632354916064813e-05
u_TOP39,1.630462181990317e-05
l_TOP27,1.544237001303376e-05
l_SOL4,1.4111509997706019e-05
l_LAC7,1.4076478822415064e-05
l_CLI32,1.3861483350641365e-05
l_LAC9,1.239160178705332e-05
l_TOP39,1.151029529317426e-05
l_TOP2,1.097097374428213e-05
l_TOP6,1.0217887432048357e-05
l_SOL55,9.897904859950696e-06
l_TOP49,9.458949028292882e-06
u_LAC22,2.951409929910673e-06
l_LAC11,9.651589721925866e-07
l_SOL54,1.0143839406186868e-17
l_SOL51,9.389460430131761e-18
u_LAC18,6.668359157138186e-18
u_LAC11,4.625339304036032e-18
l_SOL52,3.269524969327768e-18
l_LAC8,1.464980500312083e-18
l_LAC20,1.1377581155996115e-18
l_SOL50,1.089772560294863e-18
l_TOP21,9.287509988375032e-19
l_LAC12,9.22566031802175e-19
l_TOP17,4.846133578246534e-19
l_LAC15,0.0
l_TOP45,0.0
l_LAC2,0.0
l_TOP41,0.0
u_SOL51,0.0
