variable,description,native_threshold,invasive_threshold,native_depth,invasive_depth,native_importance,invasive_importance,in_both,threshold_shift,shift_pct
l_CLI26,Temp. ann. range (bio5 – bio6) [max] (°C),34.15,30.75,0.0,0.0,0.289033,0.24189,True,-3.4,-10.0
u_LAC4,Mosaic natural vegetation (>50%) / cropland (<50%) (40) (%),0.0054,,3.0,,0.444444,0.0,False,,
l_TOP139,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017) (–)",,0.6312,,3.0,0.0,0.375,False,,
l_SOL26,Bulk density of the fine earth fraction (< 2 mm) [max] (kg/m³),,1520.5,,3.0,0.0,0.319288,False,,
l_CLI70,Precip. of warmest quarter [max] (kg/m²),284.2,,2.0,,0.23207,0.0,False,,
l_TOP116,Outlet elevation (elevation of stream outlet) (m),,374.4,,2.0,0.0,0.23109,False,,
l_CLI48,Ann. precip. [sd] (kg/m²),2.5388,,3.0,,0.197551,0.0,False,,
l_SOL27,Bulk density of the fine earth fraction (< 2 mm) [mean] (kg/m³),,1556.5507,,3.0,0.0,0.180854,False,,
l_CLI38,Mean temp. of warmest quarter [max] (°C),23.5,,3.0,,0.104683,0.0,False,,
l_TOP140,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017) (–)",,41.9167,,3.0,0.0,0.100431,False,,
l_CLI66,Precip. of driest quarter [max] (kg/m²),,270.2,,2.0,0.0,0.099798,False,,
l_CLI6,Mean diurnal range (mean of monthly (max temp – min temp)) [max] (°C),6.85,,3.0,,0.094063,0.0,False,,
l_SOL33,"Cumulative probability of Histosols (soils with high organic matter) occurrence (WRB, USDA) [min] (%)",,14.5,,1.0,0.0,0.081373,False,,
l_TOP67,Segment upstream mean gradient (between focal cell and the init or node) [mean] (–),,799.0,,2.0,0.0,0.080992,False,,
u_SOL59,Probability of occurrence of R horizon [mean] (%),12.165,,3.0,,0.066522,0.0,False,,
u_TOP91,Cell downstream elevation difference (between focal cell and the next cell) [mean] (–),0.5922,,3.0,,0.065949,0.0,False,,
