variable,importance,cumulative,rank
l_CLI38,0.656907942198321,0.656907942198321,1
l_CLI57,0.15899451930357184,0.8159024615018928,2
l_CLI14,0.0662274202742336,0.8821298817761264,3
l_TOP109,0.04378537243108127,0.9259152542072077,4
l_CLI49,0.01683083284063743,0.9427460870478451,5
l_CLI66,0.016257136236395978,0.9590032232842411,6
l_CLI18,0.00859134309027149,0.9675945663745127,7
l_SOL9,0.007401442502287277,0.9749960088767999,8
l_TOP102,0.0070789257776827956,0.9820749346544827,9
l_CLI30,0.003837458804411389,0.9859123934588941,10
l_SOL17,0.0037979773007877156,0.9897103707596818,11
l_LAC7,0.0030391353758821103,0.9927495061355639,12
l_TOP124,0.0027277086593495824,0.9954772147949135,13
l_CLI2,0.0019792588501275315,0.997456473645041,14
l_CLI6,0.0016181698098732397,0.9990746434549143,15
l_TOP107,0.0009253565450802842,0.9999999999999946,16
l_TOP53,5.2671672126512815e-15,0.9999999999999998,17
l_TOP140,0.0,0.9999999999999998,18
l_TOP134,0.0,0.9999999999999998,19
l_TOP135,0.0,0.9999999999999998,20
l_TOP136,0.0,0.9999999999999998,21
l_TOP137,0.0,0.9999999999999998,22
l_TOP138,0.0,0.9999999999999998,23
l_TOP139,0.0,0.9999999999999998,24
l_TOP14,0.0,0.9999999999999998,25
l_TOP79,0.0,0.9999999999999998,26
l_TOP141,0.0,0.9999999999999998,27
l_TOP132,0.0,0.9999999999999998,28
l_TOP142,0.0,0.9999999999999998,29
l_TOP143,0.0,0.9999999999999998,30
l_TOP144,0.0,0.9999999999999998,31
l_TOP15,0.0,0.9999999999999998,32
l_TOP16,0.0,0.9999999999999998,33
l_TOP17,0.0,0.9999999999999998,34
l_TOP18,0.0,0.9999999999999998,35
l_TOP19,0.0,0.9999999999999998,36
l_TOP133,0.0,0.9999999999999998,37
l_TOP129,0.0,0.9999999999999998,38
l_TOP131,0.0,0.9999999999999998,39
l_TOP130,0.0,0.9999999999999998,40
l_TOP93,0.0,0.9999999999999998,41
l_TOP103,0.0,0.9999999999999998,42
l_TOP104,0.0,0.9999999999999998,43
l_TOP105,0.0,0.9999999999999998,44
l_TOP106,0.0,0.9999999999999998,45
l_TOP108,0.0,0.9999999999999998,46
l_TOP92,0.0,0.9999999999999998,47
l_TOP111,0.0,0.9999999999999998,48
l_TOP112,0.0,0.9999999999999998,49
l_TOP116,0.0,0.9999999999999998,50
l_TOP118,0.0,0.9999999999999998,51
l_TOP119,0.0,0.9999999999999998,52
l_TOP125,0.0,0.9999999999999998,53
l_TOP126,0.0,0.9999999999999998,54
l_TOP127,0.0,0.9999999999999998,55
l_TOP128,0.0,0.9999999999999998,56
l_TOP91,0.0,0.9999999999999998,57
l_TOP2,0.0,0.9999999999999998,58
l_TOP21,0.0,0.9999999999999998,59
l_TOP20,0.0,0.9999999999999998,60
l_TOP76,0.0,0.9999999999999998,61
l_TOP52,0.0,0.9999999999999998,62
l_TOP59,0.0,0.9999999999999998,63
l_TOP6,0.0,0.9999999999999998,64
l_TOP60,0.0,0.9999999999999998,65
l_TOP63,0.0,0.9999999999999998,66
l_TOP64,0.0,0.9999999999999998,67
l_TOP90,0.0,0.9999999999999998,68
l_TOP65,0.0,0.9999999999999998,69
l_TOP66,0.0,0.9999999999999998,70
l_TOP9,0.0,0.9999999999999998,71
l_TOP67,0.0,0.9999999999999998,72
l_TOP89,0.0,0.9999999999999998,73
l_TOP68,0.0,0.9999999999999998,74
l_TOP69,0.0,0.9999999999999998,75
l_TOP71,0.0,0.9999999999999998,76
l_TOP73,0.0,0.9999999999999998,77
l_TOP74,0.0,0.9999999999999998,78
l_TOP75,0.0,0.9999999999999998,79
l_TOP83,0.0,0.9999999999999998,80
l_TOP51,0.0,0.9999999999999998,81
l_TOP5,0.0,0.9999999999999998,82
l_TOP49,0.0,0.9999999999999998,83
l_TOP38,0.0,0.9999999999999998,84
l_TOP22,0.0,0.9999999999999998,85
l_TOP23,0.0,0.9999999999999998,86
l_TOP24,0.0,0.9999999999999998,87
l_TOP27,0.0,0.9999999999999998,88
l_TOP28,0.0,0.9999999999999998,89
l_TOP101,0.0,0.9999999999999998,90
l_TOP3,0.0,0.9999999999999998,91
l_TOP32,0.0,0.9999999999999998,92
l_TOP39,0.0,0.9999999999999998,93
l_TOP48,0.0,0.9999999999999998,94
l_TOP4,0.0,0.9999999999999998,95
l_TOP40,0.0,0.9999999999999998,96
l_TOP41,0.0,0.9999999999999998,97
l_TOP42,0.0,0.9999999999999998,98
l_TOP43,0.0,0.9999999999999998,99
l_TOP44,0.0,0.9999999999999998,100
l_TOP45,0.0,0.9999999999999998,101
l_TOP47,0.0,0.9999999999999998,102
l_CLI12,0.0,0.9999999999999998,103
l_SOL59,0.0,0.9999999999999998,104
l_TOP10,0.0,0.9999999999999998,105
l_CLI76,0.0,0.9999999999999998,106
l_CLI9,0.0,0.9999999999999998,107
l_LAC1,0.0,0.9999999999999998,108
l_LAC10,0.0,0.9999999999999998,109
l_LAC11,0.0,0.9999999999999998,110
l_LAC12,0.0,0.9999999999999998,111
l_LAC13,0.0,0.9999999999999998,112
l_LAC15,0.0,0.9999999999999998,113
l_LAC16,0.0,0.9999999999999998,114
l_LAC17,0.0,0.9999999999999998,115
l_LAC18,0.0,0.9999999999999998,116
l_LAC19,0.0,0.9999999999999998,117
l_LAC2,0.0,0.9999999999999998,118
l_LAC20,0.0,0.9999999999999998,119
l_LAC21,0.0,0.9999999999999998,120
l_LAC3,0.0,0.9999999999999998,121
l_LAC4,0.0,0.9999999999999998,122
l_LAC5,0.0,0.9999999999999998,123
