variable,description,native_threshold,invasive_threshold,native_depth,invasive_depth,native_importance,invasive_importance,in_both,threshold_shift,shift_pct
l_CLI38,Mean temp. of warmest quarter [max] (°C),26.7,,0.0,,0.341766,0.0,False,,
l_CLI1,Ann. mean air temp. [min] (°C),,12.4,,0.0,0.0,0.259014,False,,
l_CLI6,Mean diurnal range (mean of monthly (max temp – min temp)) [max] (°C),10.05,,2.0,,0.136943,0.0,False,,
l_SOL42,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [max] (pH)",56.5,,2.0,,0.12357,0.0,False,,
l_CLI57,Precip. seasonality (CV) [min] (kg/m²),,34.45,,3.0,0.0,0.114188,False,,
l_LAC13,Grassland (130) (%),0.5905,,3.0,,0.111083,0.0,False,,
l_CLI19,Max temp. of warmest month [mean] (°C),,27.1588,,2.0,0.0,0.110537,False,,
l_LAC21,Water bodies (210) (%),,0.6745,,3.0,0.0,0.100222,False,,
l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100),,309.6,,3.0,0.0,0.094022,False,,
l_SOL21,Coarse fragments by volume (>2 mm) [min] (v%),,9.5,,2.0,0.0,0.087599,False,,
l_CLI73,Precip. of coldest quarter [min] (kg/m²),409.35,,3.0,,0.069829,0.0,False,,
l_CLI42,Mean temp. of coldest quarter [max] (°C),3.6,,3.0,,0.062687,0.0,False,,
l_SOL17,Silt fraction by weight (0.0002–0.05 mm) [min] (w%),27.5,,3.0,,0.046767,0.0,False,,
l_CLI45,Ann. precip. [min] (kg/m²),,873.45,,3.0,0.0,0.036005,False,,
l_SOL14,Sand fraction by weight (0.05–2 mm) [max] (w%),60.5,,3.0,,0.032208,0.0,False,,
l_SOL47,Soil acidity (WRB class-based) [mean] (pH),1.543,,1.0,,0.021336,0.0,False,,
